Number	(rad/s)	(Hz)	(s)
94	1.88	0.53	3.34
95	1.90	0.53	3.31
96	1.92	0.52	3.27
97	1.94	0.52	3.24
98	1.96	0.51	3.21
99	1.98	0.51	3.17
100	2.00	0.50	3.14
101	2.02	0.50	3.11
102	2.04	0.49	3.08
103	2.06	0.49	3.05
104	2.08	0.48	3.02
105	2.10	0.48	2.99
106	2.12	0.47	2.96
107	2.14	0.47	2.94
108	2.16	0.46	2.91
109	2.18	0.46	2.88
110	2.20	0.45	2.86
111	2.22	0.45	2.83
112	2.24	0.45	2.80
113	2.26	0.44	2.78
114	2.28	0.44	2.76
115	2.30	0.43	2.73
116	2.32	0.43	2.71
117	2.34	0.43	2.69
118	2.36	0.42	2.66
119	2.38	0.42	2.64
120	2.40	0.42	2.62
121	2.42	0.41	2.60
122	2.44	0.41	2.58
123	2.46	0.41	2.55
124	2.48	0.40	2.53
125	2.50	0.40	2.51
126	2.52	0.40	2.49
127	2.54	0.39	2.47
128	2.56	0.39	2.45
129	2.58	0.39	2.44
130	2.60	0.38	2.42
131	2.62	0.38	2.40
132	2.64	0.38	2.38
133	2.66	0.38	2.36
134	2.68	0.37	2.34
135	2.70	0.37	2.33
136	2.72	0.37	2.31
137	2.74	0.36	2.29
138	2.76	0.36	2.28
139	2.78	0.36	2.26
140	2.80	0.36	2.24
141	2.82	0.35	2.23
142	2.84	0.35	2.21
143	2.86	0.35	2.20
144	2.88	0.35	2.18
145	2.90	0.34	2.17
146	2.92	0.34	2.15
147	2.94	0.34	2.14
148	2.96	0.34	2.12
149	2.98	0.34	2.11
150	3.00	0.33	2.09
151	3.02	0.33	2.08
152	3.04	0.33	2.07
153	3.06	0.33	2.05
154	3.08	0.32	2.04
155	3.10	0.32	2.03
156	3.12	0.32	2.01
157	3.14	0.32	2.00
158	3.16	0.32	1.99
159	3.18	0.31	1.98
160	3.20	0.31	1.96
161	3.22	0.31	1.95
162	3.24	0.31	1.94
163	3.26	0.31	1.93
164	3.28	0.30	1.92
165	3.30	0.30	1.90
166	3.32	0.30	1.89
167	3.34	0.30	1.88
168	3.36	0.30	1.87
169	3.38	0.30	1.86
170	3.40	0.29	1.85
171	3.42	0.29	1.84
172	3.44	0.29	1.83
173	3.46	0.29	1.82
174	3.48	0.29	1.81
175	3.50	0.29	1.80
176	3.52	0.28	1.78
177	3.54	0.28	1.77
178	3.56	0.28	1.76
179	3.58	0.28	1.76
180	3.60	0.28	1.75
181	3.62	0.28	1.74
182	3.64	0.27	1.73
183	3.66	0.27	1.72
184	3.68	0.27	1.71
185	3.70	0.27	1.70
186	3.72	0.27	1.69
187	3.74	0.27	1.68
188	3.76	0.27	1.67
189	3.78	0.26	1.66
190	3.80	0.26	1.65
191	3.82	0.26	1.64
192	3.84	0.26	1.64
193	3.86	0.26	1.63
194	3.88	0.26	1.62
195	3.90	0.26	1.61
196	3.92	0.26	1.60
197	3.94	0.25	1.59
198	3.96	0.25	1.59
199	3.98	0.25	1.58
200	4.00	0.25	1.57
201	4.02	0.25	1.56
202	4.04	0.25	1.56
203	4.06	0.25	1.55
204	4.08	0.25	1.54
205	4.10	0.24	1.53
206	4.12	0.24	1.53
207	4.14	0.24	1.52
208	4.16	0.24	1.51
209	4.18	0.24	1.50
210	4.20	0.24	1.50
211	4.22	0.24	1.49
212	4.24	0.24	1.48
213	4.26	0.23	1.47
214	4.28	0.23	1.47
215	4.30	0.23	1.46
216	4.32	0.23	1.45
217	4.34	0.23	1.45
218	4.36	0.23	1.44
219	4.38	0.23	1.43
220	4.40	0.23	1.43
221	4.42	0.23	1.42
222	4.44	0.23	1.42
223	4.46	0.22	1.41
224	4.48	0.22	1.40
225	4.50	0.22	1.40
226	4.52	0.22	1.39
227	4.54	0.22	1.38
228	4.56	0.22	1.38
229	4.58	0.22	1.37
230	4.60	0.22	1.37
231	4.62	0.22	1.36
232	4.64	0.22	1.35
233	4.66	0.21	1.35
234	4.68	0.21	1.34
235	4.70	0.21	1.34
236	4.72	0.21	1.33
237	4.74	0.21	1.33
238	4.76	0.21	1.32
239	4.78	0.21	1.31
240	4.80	0.21	1.31
241	4.82	0.21	1.30
242	4.84	0.21	1.30
243	4.86	0.21	1.29
244	4.88	0.20	1.29
245	4.90	0.20	1.28
246	4.92	0.20	1.28
247	4.94	0.20	1.27
248	4.96	0.20	1.27
249	4.98	0.20	1.26
250	5.00	0.20	1.26
251	5.02	0.20	1.25
252	5.04	0.20	1.25
253	5.06	0.20	1.24
254	5.08	0.20	1.24
255	5.10	0.20	1.23
256	5.12	0.20	1.23
257	5.14	0.19	1.22
258	5.16	0.19	1.22
259	5.18	0.19	1.21
260	5.20	0.19	1.21
261	5.22	0.19	1.20
262	5.24	0.19	1.20
263	5.26	0.19	1.19
264	5.28	0.19	1.19
265	5.30	0.19	1.19
266	5.32	0.19	1.18
267	5.34	0.19	1.18
268	5.36	0.19	1.17
269	5.38	0.19	1.17
270	5.40	0.19	1.16
271	5.42	0.18	1.16
272	5.44	0.18	1.15
273	5.46	0.18	1.15
274	5.48	0.18	1.15
275	5.50	0.18	1.14
276	5.52	0.18	1.14
277	5.54	0.18	1.13
278	5.56	0.18	1.13
279	5.58	0.18	1.13
280	5.60	0.18	1.12
281	5.62	0.18	1.12
282	5.64	0.18	1.11
283	5.66	0.18	1.11
284	5.68	0.18	1.11
285	5.70	0.18	1.10
286	5.72	0.17	1.10
287	5.74	0.17	1.09
288	5.76	0.17	1.09
289	5.78	0.17	1.09
290	5.80	0.17	1.08
291	5.82	0.17	1.08
292	5.84	0.17	1.08
293	5.86	0.17	1.07
294	5.88	0.17	1.07
295	5.90	0.17	1.06
296	5.92	0.17	1.06
297	5.94	0.17	1.06
298	5.96	0.17	1.05
299	5.98	0.17	1.05
300	6.00	0.17	1.05
