Time (s)   Float Heave (m) Plate Heave (m)
7.76           -0.74504054    -21.29089268
7.77           -0.74495560    -21.29088646
7.78           -0.74486673    -21.29088028
7.79           -0.74477397    -21.29087413
7.80           -0.74467734    -21.29086802
7.81           -0.74457688    -21.29086195
7.82           -0.74447263    -21.29085591
7.83           -0.74436461    -21.29084990
7.84           -0.74425286    -21.29084392
7.85           -0.74413742    -21.29083798
7.86           -0.74401832    -21.29083207
7.87           -0.74389559    -21.29082619
7.88           -0.74376928    -21.29082035
7.89           -0.74363941    -21.29081453
7.90           -0.74350603    -21.29080874
7.91           -0.74336917    -21.29080299
7.92           -0.74322887    -21.29079726
7.93           -0.74308517    -21.29079156
7.94           -0.74293810    -21.29078589
7.95           -0.74278772    -21.29078025
7.96           -0.74263404    -21.29077463
7.97           -0.74247713    -21.29076904
7.98           -0.74231701    -21.29076348
7.99           -0.74215372    -21.29075795
8.00           -0.74198732    -21.29075243
8.01           -0.74181783    -21.29074695
8.02           -0.74164530    -21.29074148
8.03           -0.74146978    -21.29073605
8.04           -0.74129130    -21.29073063
8.05           -0.74110991    -21.29072524
8.06           -0.74092565    -21.29071987
8.07           -0.74073856    -21.29071452
8.08           -0.74054869    -21.29070919
8.09           -0.74035608    -21.29070388
8.10           -0.74016077    -21.29069860
8.11           -0.73996282    -21.29069333
8.12           -0.73976226    -21.29068809
8.13           -0.73955914    -21.29068286
8.14           -0.73935350    -21.29067765
8.15           -0.73914540    -21.29067246
8.16           -0.73893487    -21.29066728
8.17           -0.73872196    -21.29066213
8.18           -0.73850672    -21.29065699
8.19           -0.73828919    -21.29065186
8.20           -0.73806943    -21.29064675
8.21           -0.73784747    -21.29064166
8.22           -0.73762336    -21.29063658
8.23           -0.73739716    -21.29063152
8.24           -0.73716891    -21.29062647
8.25           -0.73693865    -21.29062143
8.26           -0.73670643    -21.29061641
8.27           -0.73647230    -21.29061140
8.28           -0.73623632    -21.29060640
8.29           -0.73599851    -21.29060141
8.30           -0.73575895    -21.29059643
8.31           -0.73551766    -21.29059146
8.32           -0.73527471    -21.29058651
8.33           -0.73503013    -21.29058156
8.34           -0.73478398    -21.29057663
8.35           -0.73453631    -21.29057170
8.36           -0.73428716    -21.29056678
8.37           -0.73403658    -21.29056187
8.38           -0.73378462    -21.29055696
8.39           -0.73353133    -21.29055207
8.40           -0.73327676    -21.29054718
8.41           -0.73302096    -21.29054229
8.42           -0.73276397    -21.29053742
8.43           -0.73250584    -21.29053255
8.44           -0.73224663    -21.29052768
8.45           -0.73198638    -21.29052282
8.46           -0.73172513    -21.29051796
8.47           -0.73146295    -21.29051311
8.48           -0.73119987    -21.29050826
8.49           -0.73093594    -21.29050341
8.50           -0.73067122    -21.29049857
8.51           -0.73040575    -21.29049373
8.52           -0.73013958    -21.29048889
8.53           -0.72987275    -21.29048405
8.54           -0.72960533    -21.29047922
8.55           -0.72933734    -21.29047438
8.56           -0.72906885    -21.29046955
8.57           -0.72879989    -21.29046471
8.58           -0.72853053    -21.29045988
8.59           -0.72826079    -21.29045504
8.60           -0.72799074    -21.29045021
8.61           -0.72772042    -21.29044537
8.62           -0.72744987    -21.29044053
8.63           -0.72717915    -21.29043569
8.64           -0.72690829    -21.29043085
8.65           -0.72663735    -21.29042601
8.66           -0.72636638    -21.29042116
8.67           -0.72609541    -21.29041631
8.68           -0.72582449    -21.29041146
8.69           -0.72555368    -21.29040660
8.70           -0.72528301    -21.29040174
8.71           -0.72501254    -21.29039687
8.72           -0.72474230    -21.29039200
8.73           -0.72447234    -21.29038712
8.74           -0.72420271    -21.29038224
8.75           -0.72393345    -21.29037736
8.76           -0.72366461    -21.29037246
8.77           -0.72339622    -21.29036756
8.78           -0.72312834    -21.29036266
8.79           -0.72286100    -21.29035775
8.80           -0.72259425    -21.29035283
8.81           -0.72232813    -21.29034790
8.82           -0.72206269    -21.29034297
8.83           -0.72179797    -21.29033803
8.84           -0.72153400    -21.29033308
8.85           -0.72127084    -21.29032812
8.86           -0.72100851    -21.29032315
8.87           -0.72074707    -21.29031818
8.88           -0.72048656    -21.29031319
8.89           -0.72022701    -21.29030820
8.90           -0.71996846    -21.29030320
8.91           -0.71971096    -21.29029818
8.92           -0.71945454    -21.29029316
8.93           -0.71919924    -21.29028813
8.94           -0.71894511    -21.29028309
8.95           -0.71869218    -21.29027803
8.96           -0.71844048    -21.29027297
8.97           -0.71819006    -21.29026789
8.98           -0.71794096    -21.29026281
8.99           -0.71769320    -21.29025771
9.00           -0.71744683    -21.29025260
9.01           -0.71720188    -21.29024748
9.02           -0.71695839    -21.29024235
9.03           -0.71671640    -21.29023720
9.04           -0.71647593    -21.29023204
9.05           -0.71623703    -21.29022687
9.06           -0.71599972    -21.29022169
9.07           -0.71576404    -21.29021650
9.08           -0.71553003    -21.29021129
9.09           -0.71529772    -21.29020607
9.10           -0.71506714    -21.29020084
9.11           -0.71483832    -21.29019559
9.12           -0.71461129    -21.29019033
9.13           -0.71438608    -21.29018505
9.14           -0.71416274    -21.29017976
9.15           -0.71394127    -21.29017446
9.16           -0.71372173    -21.29016915
9.17           -0.71350413    -21.29016382
9.18           -0.71328850    -21.29015847
9.19           -0.71307487    -21.29015312
9.20           -0.71286328    -21.29014774
9.21           -0.71265375    -21.29014236
9.22           -0.71244629    -21.29013695
9.23           -0.71224096    -21.29013154
9.24           -0.71203776    -21.29012611
9.25           -0.71183672    -21.29012066
9.26           -0.71163787    -21.29011520
9.27           -0.71144124    -21.29010972
9.28           -0.71124684    -21.29010423
9.29           -0.71105471    -21.29009873
9.30           -0.71086487    -21.29009321
9.31           -0.71067733    -21.29008767
9.32           -0.71049212    -21.29008212
9.33           -0.71030926    -21.29007655
9.34           -0.71012878    -21.29007097
9.35           -0.70995069    -21.29006537
9.36           -0.70977502    -21.29005976
9.37           -0.70960179    -21.29005413
9.38           -0.70943101    -21.29004849
9.39           -0.70926270    -21.29004283
9.40           -0.70909688    -21.29003715
9.41           -0.70893358    -21.29003146
9.42           -0.70877280    -21.29002575
9.43           -0.70861457    -21.29002003
9.44           -0.70845890    -21.29001429
9.45           -0.70830580    -21.29000854
9.46           -0.70815530    -21.29000277
9.47           -0.70800740    -21.28999699
9.48           -0.70786213    -21.28999119
9.49           -0.70771949    -21.28998537
9.50           -0.70757950    -21.28997954
9.51           -0.70744217    -21.28997369
9.52           -0.70730752    -21.28996783
9.53           -0.70717555    -21.28996195
9.54           -0.70704628    -21.28995606
9.55           -0.70691972    -21.28995015
9.56           -0.70679588    -21.28994423
9.57           -0.70667476    -21.28993829
9.58           -0.70655639    -21.28993233
9.59           -0.70644076    -21.28992636
9.60           -0.70632789    -21.28992038
9.61           -0.70621778    -21.28991438
9.62           -0.70611044    -21.28990836
9.63           -0.70600588    -21.28990233
9.64           -0.70590411    -21.28989629
9.65           -0.70580512    -21.28989023
9.66           -0.70570893    -21.28988415
9.67           -0.70561554    -21.28987806
9.68           -0.70552496    -21.28987196
9.69           -0.70543718    -21.28986584
9.70           -0.70535222    -21.28985970
9.71           -0.70527007    -21.28985355
9.72           -0.70519073    -21.28984739
9.73           -0.70511422    -21.28984121
9.74           -0.70504053    -21.28983502
9.75           -0.70496966    -21.28982882
9.76           -0.70490162    -21.28982260
9.77           -0.70483639    -21.28981636
9.78           -0.70477399    -21.28981011
9.79           -0.70471441    -21.28980385
9.80           -0.70465765    -21.28979758
9.81           -0.70460370    -21.28979129
9.82           -0.70455258    -21.28978499
9.83           -0.70450426    -21.28977867
9.84           -0.70445876    -21.28977235
9.85           -0.70441606    -21.28976600
9.86           -0.70437616    -21.28975965
9.87           -0.70433906    -21.28975328
9.88           -0.70430475    -21.28974690
9.89           -0.70427322    -21.28974051
9.90           -0.70424448    -21.28973411
9.91           -0.70421851    -21.28972769
9.92           -0.70419531    -21.28972126
9.93           -0.70417486    -21.28971482
9.94           -0.70415717    -21.28970837
9.95           -0.70414222    -21.28970191
9.96           -0.70413001    -21.28969543
9.97           -0.70412052    -21.28968894
9.98           -0.70411375    -21.28968245
9.99           -0.70410969    -21.28967594
10.00          -0.70410832    -21.28966942
10.01          -0.70410963    -21.28966289
10.02          -0.70411363    -21.28965634
10.03          -0.70412028    -21.28964979
10.04          -0.70412958    -21.28964323
10.05          -0.70414153    -21.28963666
10.06          -0.70415609    -21.28963007
10.07          -0.70417328    -21.28962348
10.08          -0.70419305    -21.28961688
10.09          -0.70421542    -21.28961027
10.10          -0.70424035    -21.28960365
10.11          -0.70426785    -21.28959702
10.12          -0.70429788    -21.28959038
10.13          -0.70433044    -21.28958373
10.14          -0.70436550    -21.28957708
10.15          -0.70440306    -21.28957041
10.16          -0.70444310    -21.28956374
10.17          -0.70448560    -21.28955706
10.18          -0.70453054    -21.28955037
10.19          -0.70457791    -21.28954367
10.20          -0.70462768    -21.28953697
10.21          -0.70467984    -21.28953026
10.22          -0.70473438    -21.28952354
10.23          -0.70479126    -21.28951681
10.24          -0.70485048    -21.28951008
10.25          -0.70491202    -21.28950334
10.26          -0.70497584    -21.28949660
10.27          -0.70504194    -21.28948984
10.28          -0.70511029    -21.28948309
10.29          -0.70518087    -21.28947632
10.30          -0.70525367    -21.28946955
10.31          -0.70532865    -21.28946278
10.32          -0.70540581    -21.28945600
10.33          -0.70548511    -21.28944921
10.34          -0.70556653    -21.28944242
10.35          -0.70565005    -21.28943563
10.36          -0.70573566    -21.28942883
10.37          -0.70582332    -21.28942203
10.38          -0.70591301    -21.28941522
10.39          -0.70600471    -21.28940841
10.40          -0.70609840    -21.28940159
10.41          -0.70619405    -21.28939477
10.42          -0.70629164    -21.28938795
10.43          -0.70639114    -21.28938112
10.44          -0.70649253    -21.28937430
10.45          -0.70659578    -21.28936746
10.46          -0.70670087    -21.28936063
10.47          -0.70680778    -21.28935380
10.48          -0.70691647    -21.28934696
10.49          -0.70702693    -21.28934012
10.50          -0.70713912    -21.28933328
10.51          -0.70725303    -21.28932643
10.52          -0.70736861    -21.28931959
10.53          -0.70748586    -21.28931274
10.54          -0.70760474    -21.28930589
10.55          -0.70772522    -21.28929905
10.56          -0.70784728    -21.28929220
10.57          -0.70797089    -21.28928535
10.58          -0.70809602    -21.28927850
10.59          -0.70822265    -21.28927165
10.60          -0.70835075    -21.28926480
10.61          -0.70848029    -21.28925795
10.62          -0.70861124    -21.28925111
10.63          -0.70874358    -21.28924426
10.64          -0.70887727    -21.28923741
10.65          -0.70901230    -21.28923057
10.66          -0.70914862    -21.28922373
10.67          -0.70928622    -21.28921688
10.68          -0.70942506    -21.28921004
10.69          -0.70956512    -21.28920320
10.70          -0.70970636    -21.28919637
10.71          -0.70984876    -21.28918953
10.72          -0.70999229    -21.28918270
10.73          -0.71013693    -21.28917587
10.74          -0.71028263    -21.28916905
10.75          -0.71042938    -21.28916222
10.76          -0.71057714    -21.28915540
10.77          -0.71072588    -21.28914859
10.78          -0.71087558    -21.28914178
10.79          -0.71102621    -21.28913497
10.80          -0.71117773    -21.28912816
10.81          -0.71133012    -21.28912136
10.82          -0.71148335    -21.28911456
10.83          -0.71163739    -21.28910777
10.84          -0.71179221    -21.28910098
10.85          -0.71194778    -21.28909420
10.86          -0.71210406    -21.28908742
10.87          -0.71226105    -21.28908065
10.88          -0.71241869    -21.28907388
10.89          -0.71257697    -21.28906712
10.90          -0.71273585    -21.28906036
10.91          -0.71289530    -21.28905361
10.92          -0.71305530    -21.28904687
10.93          -0.71321582    -21.28904013
10.94          -0.71337682    -21.28903340
10.95          -0.71353828    -21.28902667
10.96          -0.71370017    -21.28901995
10.97          -0.71386245    -21.28901324
10.98          -0.71402511    -21.28900654
10.99          -0.71418811    -21.28899984
11.00          -0.71435142    -21.28899315
11.01          -0.71451501    -21.28898646
11.02          -0.71467886    -21.28897979
11.03          -0.71484294    -21.28897312
11.04          -0.71500721    -21.28896646
11.05          -0.71517165    -21.28895981
11.06          -0.71533623    -21.28895316
11.07          -0.71550092    -21.28894653
11.08          -0.71566570    -21.28893990
11.09          -0.71583053    -21.28893328
11.10          -0.71599539    -21.28892667
11.11          -0.71616024    -21.28892007
11.12          -0.71632507    -21.28891348
11.13          -0.71648985    -21.28890690
11.14          -0.71665454    -21.28890032
11.15          -0.71681911    -21.28889376
11.16          -0.71698355    -21.28888720
11.17          -0.71714782    -21.28888066
11.18          -0.71731190    -21.28887412
11.19          -0.71747576    -21.28886760
11.20          -0.71763938    -21.28886108
11.21          -0.71780272    -21.28885457
11.22          -0.71796576    -21.28884808
11.23          -0.71812847    -21.28884159
11.24          -0.71829083    -21.28883512
11.25          -0.71845281    -21.28882866
11.26          -0.71861439    -21.28882220
11.27          -0.71877554    -21.28881576
11.28          -0.71893623    -21.28880933
11.29          -0.71909645    -21.28880291
11.30          -0.71925616    -21.28879650
11.31          -0.71941533    -21.28879010
11.32          -0.71957395    -21.28878371
11.33          -0.71973200    -21.28877734
11.34          -0.71988943    -21.28877097
11.35          -0.72004624    -21.28876462
11.36          -0.72020240    -21.28875828
11.37          -0.72035788    -21.28875195
11.38          -0.72051266    -21.28874563
11.39          -0.72066672    -21.28873933
11.40          -0.72082004    -21.28873304
11.41          -0.72097258    -21.28872675
11.42          -0.72112434    -21.28872049
11.43          -0.72127528    -21.28871423
11.44          -0.72142538    -21.28870798
11.45          -0.72157463    -21.28870175
11.46          -0.72172299    -21.28869553
11.47          -0.72187046    -21.28868933
11.48          -0.72201700    -21.28868313
11.49          -0.72216260    -21.28867695
11.50          -0.72230724    -21.28867078
11.51          -0.72245089    -21.28866463
11.52          -0.72259354    -21.28865848
11.53          -0.72273516    -21.28865235
11.54          -0.72287574    -21.28864623
11.55          -0.72301525    -21.28864013
11.56          -0.72315369    -21.28863404
11.57          -0.72329101    -21.28862796
11.58          -0.72342722    -21.28862189
11.59          -0.72356229    -21.28861584
11.60          -0.72369620    -21.28860980
11.61          -0.72382894    -21.28860378
11.62          -0.72396049    -21.28859777
11.63          -0.72409082    -21.28859177
11.64          -0.72421993    -21.28858578
11.65          -0.72434779    -21.28857981
11.66          -0.72447439    -21.28857385
11.67          -0.72459972    -21.28856791
11.68          -0.72472375    -21.28856198
11.69          -0.72484647    -21.28855606
11.70          -0.72496787    -21.28855016
11.71          -0.72508793    -21.28854427
11.72          -0.72520664    -21.28853839
11.73          -0.72532398    -21.28853253
11.74          -0.72543994    -21.28852668
11.75          -0.72555450    -21.28852084
11.76          -0.72566765    -21.28851502
11.77          -0.72577937    -21.28850921
11.78          -0.72588966    -21.28850341
11.79          -0.72599850    -21.28849763
11.80          -0.72610588    -21.28849187
11.81          -0.72621179    -21.28848611
11.82          -0.72631621    -21.28848037
11.83          -0.72641913    -21.28847465
11.84          -0.72652054    -21.28846893
11.85          -0.72662044    -21.28846323
11.86          -0.72671880    -21.28845755
11.87          -0.72681563    -21.28845188
11.88          -0.72691090    -21.28844622
11.89          -0.72700461    -21.28844058
11.90          -0.72709676    -21.28843494
11.91          -0.72718732    -21.28842933
11.92          -0.72727630    -21.28842372
11.93          -0.72736368    -21.28841814
11.94          -0.72744945    -21.28841256
11.95          -0.72753362    -21.28840700
11.96          -0.72761616    -21.28840145
11.97          -0.72769707    -21.28839591
11.98          -0.72777636    -21.28839039
11.99          -0.72785400    -21.28838488
12.00          -0.72792999    -21.28837939
12.01          -0.72800433    -21.28837391
12.02          -0.72807701    -21.28836844
12.03          -0.72814802    -21.28836298
12.04          -0.72821737    -21.28835754
12.05          -0.72828503    -21.28835211
12.06          -0.72835102    -21.28834670
12.07          -0.72841533    -21.28834129
12.08          -0.72847795    -21.28833591
12.09          -0.72853888    -21.28833053
12.10          -0.72859811    -21.28832517
12.11          -0.72865564    -21.28831982
12.12          -0.72871148    -21.28831448
12.13          -0.72876561    -21.28830916
12.14          -0.72881803    -21.28830385
12.15          -0.72886875    -21.28829855
12.16          -0.72891776    -21.28829326
12.17          -0.72896506    -21.28828799
12.18          -0.72901064    -21.28828273
12.19          -0.72905452    -21.28827748
12.20          -0.72909668    -21.28827225
12.21          -0.72913714    -21.28826702
12.22          -0.72917588    -21.28826181
12.23          -0.72921290    -21.28825661
12.24          -0.72924822    -21.28825143
12.25          -0.72928183    -21.28824626
12.26          -0.72931373    -21.28824109
12.27          -0.72934392    -21.28823594
12.28          -0.72937241    -21.28823081
12.29          -0.72939919    -21.28822568
12.30          -0.72942427    -21.28822057
12.31          -0.72944766    -21.28821547
12.32          -0.72946935    -21.28821038
12.33          -0.72948935    -21.28820530
12.34          -0.72950766    -21.28820023
12.35          -0.72952429    -21.28819518
12.36          -0.72953924    -21.28819013
12.37          -0.72955251    -21.28818510
12.38          -0.72956411    -21.28818008
12.39          -0.72957405    -21.28817507
12.40          -0.72958232    -21.28817007
12.41          -0.72958894    -21.28816508
12.42          -0.72959391    -21.28816010
12.43          -0.72959723    -21.28815514
12.44          -0.72959892    -21.28815018
12.45          -0.72959898    -21.28814524
12.46          -0.72959741    -21.28814030
12.47          -0.72959422    -21.28813538
12.48          -0.72958943    -21.28813047
12.49          -0.72958303    -21.28812556
12.50          -0.72957503    -21.28812067
12.51          -0.72956545    -21.28811579
12.52          -0.72955428    -21.28811092
12.53          -0.72954155    -21.28810606
12.54          -0.72952725    -21.28810120
12.55          -0.72951140    -21.28809636
12.56          -0.72949401    -21.28809153
12.57          -0.72947508    -21.28808670
12.58          -0.72945462    -21.28808189
12.59          -0.72943265    -21.28807709
12.60          -0.72940917    -21.28807229
12.61          -0.72938420    -21.28806750
12.62          -0.72935774    -21.28806273
12.63          -0.72932980    -21.28805796
12.64          -0.72930040    -21.28805320
12.65          -0.72926955    -21.28804845
12.66          -0.72923725    -21.28804371
12.67          -0.72920352    -21.28803898
12.68          -0.72916838    -21.28803425
12.69          -0.72913182    -21.28802954
12.70          -0.72909387    -21.28802483
12.71          -0.72905454    -21.28802013
12.72          -0.72901383    -21.28801544
12.73          -0.72897177    -21.28801076
12.74          -0.72892836    -21.28800609
12.75          -0.72888362    -21.28800142
12.76          -0.72883756    -21.28799676
12.77          -0.72879019    -21.28799211
12.78          -0.72874153    -21.28798747
12.79          -0.72869158    -21.28798283
12.80          -0.72864037    -21.28797820
12.81          -0.72858791    -21.28797358
12.82          -0.72853421    -21.28796897
12.83          -0.72847929    -21.28796436
12.84          -0.72842315    -21.28795976
12.85          -0.72836582    -21.28795517
12.86          -0.72830731    -21.28795058
12.87          -0.72824763    -21.28794600
12.88          -0.72818680    -21.28794143
12.89          -0.72812484    -21.28793686
12.90          -0.72806175    -21.28793230
12.91          -0.72799756    -21.28792775
12.92          -0.72793227    -21.28792320
12.93          -0.72786592    -21.28791866
12.94          -0.72779850    -21.28791413
12.95          -0.72773004    -21.28790960
12.96          -0.72766055    -21.28790508
12.97          -0.72759005    -21.28790056
12.98          -0.72751855    -21.28789605
12.99          -0.72744607    -21.28789154
13.00          -0.72737263    -21.28788704
13.01          -0.72729824    -21.28788254
13.02          -0.72722293    -21.28787805
13.03          -0.72714669    -21.28787357
13.04          -0.72706956    -21.28786909
13.05          -0.72699155    -21.28786461
13.06          -0.72691268    -21.28786014
13.07          -0.72683296    -21.28785568
13.08          -0.72675241    -21.28785122
13.09          -0.72667104    -21.28784676
13.10          -0.72658888    -21.28784231
13.11          -0.72650594    -21.28783786
13.12          -0.72642224    -21.28783342
13.13          -0.72633780    -21.28782898
13.14          -0.72625263    -21.28782455
13.15          -0.72616675    -21.28782012
13.16          -0.72608017    -21.28781569
13.17          -0.72599292    -21.28781127
13.18          -0.72590502    -21.28780685
13.19          -0.72581647    -21.28780243
13.20          -0.72572731    -21.28779802
13.21          -0.72563754    -21.28779361
13.22          -0.72554718    -21.28778921
13.23          -0.72545625    -21.28778481
13.24          -0.72536477    -21.28778041
13.25          -0.72527276    -21.28777602
13.26          -0.72518023    -21.28777163
13.27          -0.72508721    -21.28776724
13.28          -0.72499370    -21.28776285
13.29          -0.72489973    -21.28775847
13.30          -0.72480532    -21.28775409
13.31          -0.72471048    -21.28774972
13.32          -0.72461523    -21.28774534
13.33          -0.72451959    -21.28774097
13.34          -0.72442358    -21.28773660
13.35          -0.72432721    -21.28773224
13.36          -0.72423050    -21.28772787
13.37          -0.72413347    -21.28772351
13.38          -0.72403614    -21.28771915
13.39          -0.72393852    -21.28771480
13.40          -0.72384064    -21.28771044
13.41          -0.72374251    -21.28770609
13.42          -0.72364414    -21.28770174
13.43          -0.72354556    -21.28769739
13.44          -0.72344679    -21.28769304
13.45          -0.72334783    -21.28768870
13.46          -0.72324872    -21.28768435
13.47          -0.72314946    -21.28768001
13.48          -0.72305007    -21.28767567
13.49          -0.72295057    -21.28767133
13.50          -0.72285098    -21.28766699
13.51          -0.72275132    -21.28766266
13.52          -0.72265159    -21.28765832
13.53          -0.72255183    -21.28765399
13.54          -0.72245204    -21.28764966
13.55          -0.72235225    -21.28764533
13.56          -0.72225246    -21.28764100
13.57          -0.72215271    -21.28763667
13.58          -0.72205299    -21.28763234
13.59          -0.72195334    -21.28762802
13.60          -0.72185376    -21.28762369
13.61          -0.72175428    -21.28761937
13.62          -0.72165491    -21.28761504
13.63          -0.72155566    -21.28761072
13.64          -0.72145656    -21.28760640
13.65          -0.72135761    -21.28760208
13.66          -0.72125884    -21.28759776
13.67          -0.72116026    -21.28759344
13.68          -0.72106189    -21.28758912
13.69          -0.72096374    -21.28758480
13.70          -0.72086583    -21.28758048
13.71          -0.72076817    -21.28757616
13.72          -0.72067078    -21.28757184
13.73          -0.72057368    -21.28756753
13.74          -0.72047687    -21.28756321
13.75          -0.72038039    -21.28755889
13.76          -0.72028423    -21.28755458
13.77          -0.72018841    -21.28755026
13.78          -0.72009296    -21.28754595
13.79          -0.71999788    -21.28754163
13.80          -0.71990319    -21.28753732
13.81          -0.71980890    -21.28753300
13.82          -0.71971504    -21.28752869
13.83          -0.71962160    -21.28752438
13.84          -0.71952861    -21.28752006
13.85          -0.71943608    -21.28751575
13.86          -0.71934402    -21.28751144
13.87          -0.71925245    -21.28750712
13.88          -0.71916138    -21.28750281
13.89          -0.71907083    -21.28749850
13.90          -0.71898080    -21.28749418
13.91          -0.71889131    -21.28748987
13.92          -0.71880238    -21.28748556
13.93          -0.71871401    -21.28748124
13.94          -0.71862623    -21.28747693
13.95          -0.71853903    -21.28747262
13.96          -0.71845244    -21.28746830
13.97          -0.71836646    -21.28746399
13.98          -0.71828111    -21.28745968
13.99          -0.71819640    -21.28745536
14.00          -0.71811234    -21.28745105
14.01          -0.71802895    -21.28744674
14.02          -0.71794623    -21.28744243
14.03          -0.71786419    -21.28743811
14.04          -0.71778286    -21.28743380
14.05          -0.71770222    -21.28742949
14.06          -0.71762231    -21.28742517
14.07          -0.71754313    -21.28742086
14.08          -0.71746469    -21.28741655
14.09          -0.71738699    -21.28741224
14.10          -0.71731006    -21.28740792
14.11          -0.71723389    -21.28740361
14.12          -0.71715851    -21.28739930
14.13          -0.71708391    -21.28739499
14.14          -0.71701011    -21.28739067
14.15          -0.71693712    -21.28738636
14.16          -0.71686495    -21.28738205
14.17          -0.71679360    -21.28737774
14.18          -0.71672309    -21.28737343
14.19          -0.71665341    -21.28736912
14.20          -0.71658459    -21.28736481
14.21          -0.71651663    -21.28736049
14.22          -0.71644954    -21.28735618
14.23          -0.71638332    -21.28735187
14.24          -0.71631798    -21.28734757
14.25          -0.71625354    -21.28734326
14.26          -0.71618999    -21.28733895
14.27          -0.71612734    -21.28733464
14.28          -0.71606561    -21.28733033
14.29          -0.71600479    -21.28732602
14.30          -0.71594490    -21.28732172
14.31          -0.71588594    -21.28731741
14.32          -0.71582792    -21.28731310
14.33          -0.71577084    -21.28730880
14.34          -0.71571471    -21.28730450
14.35          -0.71565953    -21.28730019
14.36          -0.71560532    -21.28729589
14.37          -0.71555206    -21.28729159
14.38          -0.71549978    -21.28728729
14.39          -0.71544848    -21.28728299
14.40          -0.71539815    -21.28727869
14.41          -0.71534881    -21.28727439
14.42          -0.71530045    -21.28727009
14.43          -0.71525309    -21.28726580
14.44          -0.71520673    -21.28726150
14.45          -0.71516137    -21.28725721
14.46          -0.71511701    -21.28725292
14.47          -0.71507366    -21.28724862
14.48          -0.71503131    -21.28724433
14.49          -0.71498999    -21.28724005
14.50          -0.71494968    -21.28723576
14.51          -0.71491038    -21.28723147
14.52          -0.71487211    -21.28722719
14.53          -0.71483487    -21.28722291
14.54          -0.71479865    -21.28721863
14.55          -0.71476346    -21.28721435
14.56          -0.71472930    -21.28721007
14.57          -0.71469617    -21.28720579
14.58          -0.71466407    -21.28720152
14.59          -0.71463301    -21.28719725
14.60          -0.71460298    -21.28719298
14.61          -0.71457398    -21.28718871
14.62          -0.71454603    -21.28718445
14.63          -0.71451911    -21.28718019
14.64          -0.71449323    -21.28717592
14.65          -0.71446838    -21.28717167
14.66          -0.71444458    -21.28716741
14.67          -0.71442181    -21.28716316
14.68          -0.71440008    -21.28715891
14.69          -0.71437938    -21.28715466
14.70          -0.71435972    -21.28715041
14.71          -0.71434110    -21.28714617
14.72          -0.71432350    -21.28714193
14.73          -0.71430695    -21.28713769
14.74          -0.71429142    -21.28713346
14.75          -0.71427692    -21.28712923
14.76          -0.71426345    -21.28712500
14.77          -0.71425100    -21.28712078
14.78          -0.71423958    -21.28711655
14.79          -0.71422918    -21.28711234
14.80          -0.71421980    -21.28710812
14.81          -0.71421143    -21.28710391
14.82          -0.71420408    -21.28709970
14.83          -0.71419774    -21.28709550
14.84          -0.71419241    -21.28709130
14.85          -0.71418808    -21.28708710
14.86          -0.71418475    -21.28708291
14.87          -0.71418242    -21.28707872
14.88          -0.71418109    -21.28707454
14.89          -0.71418074    -21.28707036
14.90          -0.71418138    -21.28706618
14.91          -0.71418300    -21.28706201
14.92          -0.71418561    -21.28705784
14.93          -0.71418918    -21.28705368
14.94          -0.71419372    -21.28704952
14.95          -0.71419923    -21.28704536
14.96          -0.71420569    -21.28704121
14.97          -0.71421311    -21.28703707
14.98          -0.71422148    -21.28703293
14.99          -0.71423080    -21.28702880
15.00          -0.71424105    -21.28702467
15.01          -0.71425223    -21.28702054
15.02          -0.71426434    -21.28701642
15.03          -0.71427737    -21.28701231
15.04          -0.71429132    -21.28700820
15.05          -0.71430618    -21.28700409
15.06          -0.71432193    -21.28700000
15.07          -0.71433859    -21.28699590
15.08          -0.71435614    -21.28699182
15.09          -0.71437457    -21.28698774
15.10          -0.71439387    -21.28698366
15.11          -0.71441405    -21.28697959
15.12          -0.71443509    -21.28697553
15.13          -0.71445698    -21.28697147
15.14          -0.71447972    -21.28696742
15.15          -0.71450331    -21.28696338
15.16          -0.71452773    -21.28695934
15.17          -0.71455297    -21.28695531
15.18          -0.71457904    -21.28695128
15.19          -0.71460591    -21.28694726
15.20          -0.71463359    -21.28694325
15.21          -0.71466206    -21.28693924
15.22          -0.71469133    -21.28693525
15.23          -0.71472137    -21.28693126
15.24          -0.71475218    -21.28692727
15.25          -0.71478375    -21.28692329
15.26          -0.71481608    -21.28691932
15.27          -0.71484915    -21.28691536
15.28          -0.71488296    -21.28691141
15.29          -0.71491749    -21.28690746
15.30          -0.71495275    -21.28690352
15.31          -0.71498872    -21.28689959
15.32          -0.71502539    -21.28689566
15.33          -0.71506275    -21.28689174
15.34          -0.71510079    -21.28688783
15.35          -0.71513951    -21.28688393
15.36          -0.71517889    -21.28688004
15.37          -0.71521893    -21.28687616
15.38          -0.71525961    -21.28687228
15.39          -0.71530093    -21.28686841
15.40          -0.71534288    -21.28686455
15.41          -0.71538544    -21.28686070
15.42          -0.71542861    -21.28685686
15.43          -0.71547238    -21.28685302
15.44          -0.71551673    -21.28684920
15.45          -0.71556167    -21.28684538
15.46          -0.71560717    -21.28684157
15.47          -0.71565323    -21.28683777
15.48          -0.71569984    -21.28683399
15.49          -0.71574698    -21.28683020
15.50          -0.71579466    -21.28682643
15.51          -0.71584285    -21.28682267
