Time (s)	Float Heave (m)	Spar Heave (m)
4.26	-0.700882715	-21.29530612
4.32	-0.69731756	-21.29525346
4.38	-0.693975744	-21.29519588
4.44	-0.690871407	-21.29513358
4.5	-0.688016972	-21.29506678
4.56	-0.685423109	-21.2949957
4.62	-0.683098711	-21.29492059
4.68	-0.681050877	-21.29484169
4.74	-0.679284909	-21.29475924
4.8	-0.677804321	-21.29467349
4.86	-0.676610858	-21.29458471
4.92	-0.675704521	-21.29449313
4.98	-0.675083612	-21.29439904
5.04	-0.674744776	-21.29430268
5.1	-0.674683063	-21.29420432
5.16	-0.674891991	-21.29410421
5.22	-0.675363623	-21.29400261
5.28	-0.676088643	-21.29389977
5.34	-0.677056446	-21.29379595
5.4	-0.678255232	-21.29369139
5.46	-0.679672103	-21.29358632
5.52	-0.681293166	-21.29348099
5.58	-0.683103639	-21.2933756
5.64	-0.685087962	-21.2932704
5.7	-0.687229909	-21.29316558
5.76	-0.689512697	-21.29306134
5.82	-0.691919104	-21.29295788
5.88	-0.694431584	-21.29285537
5.94	-0.697032376	-21.292754
6	-0.699703618	-21.29265392
6.06	-0.702427459	-21.29255528
6.12	-0.705186165	-21.29245822
6.18	-0.707962219	-21.29236286
6.24	-0.710738431	-21.29226933
6.3	-0.713498023	-21.29217772
6.36	-0.716224729	-21.29208813
6.42	-0.718902877	-21.29200063
6.48	-0.72151747	-21.29191531
6.54	-0.72405426	-21.2918322
6.6	-0.726499819	-21.29175137
6.66	-0.728841597	-21.29167283
6.72	-0.731067979	-21.29159663
6.78	-0.733168331	-21.29152276
6.84	-0.735133044	-21.29145123
6.9	-0.736953566	-21.29138203
6.96	-0.738622425	-21.29131515
7.02	-0.740133256	-21.29125055
7.08	-0.741480804	-21.29118821
7.14	-0.742660937	-21.29112807
7.2	-0.74367064	-21.29107009
7.26	-0.744508005	-21.29101421
7.32	-0.745172221	-21.29096035
7.38	-0.745663547	-21.29090846
7.44	-0.745983287	-21.29085845
7.5	-0.74613376	-21.29081024
7.56	-0.746118254	-21.29076375
7.62	-0.745940989	-21.29071887
7.68	-0.745607068	-21.29067553
7.74	-0.745122419	-21.29063362
7.8	-0.744493747	-21.29059305
7.86	-0.74372847	-21.29055372
7.92	-0.742834655	-21.29051552
7.98	-0.741820958	-21.29047837
8.04	-0.740696553	-21.29044214
8.1	-0.739471065	-21.29040676
8.16	-0.738154502	-21.29037211
8.22	-0.736757181	-21.29033811
8.28	-0.735289663	-21.29030465
8.34	-0.733762677	-21.29027165
8.4	-0.732187055	-21.29023902
8.46	-0.730573662	-21.29020667
8.52	-0.728933329	-21.29017452
8.58	-0.727276787	-21.29014249
8.64	-0.725614605	-21.29011051
8.7	-0.72395713	-21.29007851
8.76	-0.722314427	-21.29004643
8.82	-0.720696226	-21.2900142
8.88	-0.719111873	-21.28998177
8.94	-0.717570278	-21.28994909
9	-0.716079872	-21.28991612
9.06	-0.71464857	-21.28988281
9.12	-0.713283733	-21.28984914
9.18	-0.711992135	-21.28981507
9.24	-0.710779941	-21.28978057
9.3	-0.709652677	-21.28974564
9.36	-0.708615218	-21.28971026
9.42	-0.707671771	-21.28967441
9.48	-0.706825865	-21.2896381
9.54	-0.706080346	-21.28960131
9.6	-0.70543738	-21.28956407
9.66	-0.70489845	-21.28952637
9.72	-0.704464368	-21.28948824
9.78	-0.704135285	-21.28944967
9.84	-0.703910705	-21.28941071
9.9	-0.703789505	-21.28937136
9.96	-0.703769956	-21.28933165
10.02	-0.703849749	-21.28929161
10.08	-0.704026024	-21.28925128
10.14	-0.704295397	-21.28921068
10.2	-0.704653998	-21.28916985
10.26	-0.705097503	-21.28912882
10.32	-0.705621173	-21.28908764
10.38	-0.706219892	-21.28904633
10.44	-0.706888208	-21.28900494
10.5	-0.707620374	-21.28896351
10.56	-0.708410392	-21.28892207
10.62	-0.709252053	-21.28888067
10.68	-0.710138979	-21.28883934
10.74	-0.711064673	-21.28879811
10.8	-0.712022554	-21.28875703
10.86	-0.713006001	-21.28871613
10.92	-0.714008399	-21.28867545
10.98	-0.715023174	-21.28863501
11.04	-0.716043834	-21.28859484
11.1	-0.717064007	-21.28855499
11.16	-0.718077477	-21.28851546
11.22	-0.719078218	-21.2884763
11.28	-0.720060427	-21.28843751
11.34	-0.721018553	-21.28839913
11.4	-0.721947325	-21.28836116
11.46	-0.722841779	-21.28832363
11.52	-0.723697277	-21.28828655
11.58	-0.724509533	-21.28824993
11.64	-0.725274627	-21.28821378
11.7	-0.725989021	-21.2881781
11.76	-0.726649571	-21.2881429
11.82	-0.727253539	-21.28810818
11.88	-0.727798596	-21.28807394
11.94	-0.72828283	-21.28804018
12	-0.728704747	-21.28800689
12.06	-0.729063269	-21.28797407
12.12	-0.729357731	-21.28794171
12.18	-0.729587874	-21.28790979
12.24	-0.729753841	-21.28787831
12.3	-0.729856161	-21.28784726
12.36	-0.72989574	-21.28781661
12.42	-0.729873847	-21.28778636
12.48	-0.729792094	-21.28775648
12.54	-0.729652421	-21.28772696
12.6	-0.729457074	-21.28769778
12.66	-0.729208587	-21.28766893
12.72	-0.728909756	-21.28764038
12.78	-0.728563618	-21.28761211
12.84	-0.728173426	-21.2875841
12.9	-0.727742624	-21.28755634
12.96	-0.727274821	-21.28752881
13.02	-0.726773766	-21.28750148
13.08	-0.726243319	-21.28747434
13.14	-0.72568743	-21.28744738
13.2	-0.725110107	-21.28742056
13.26	-0.724515393	-21.28739388
13.32	-0.723907341	-21.28736733
13.38	-0.723289988	-21.28734088
13.44	-0.722667331	-21.28731453
13.5	-0.722043301	-21.28728826
13.56	-0.721421747	-21.28726206
13.62	-0.720806409	-21.28723593
13.68	-0.720200897	-21.28720985
13.74	-0.719608678	-21.28718381
13.8	-0.719033051	-21.28715783
13.86	-0.718477136	-21.28713188
13.92	-0.71794386	-21.28710597
13.98	-0.717435936	-21.28708009
14.04	-0.716955861	-21.28705425
14.1	-0.716505902	-21.28702846
14.16	-0.716088084	-21.2870027
14.22	-0.715704191	-21.286977
14.28	-0.715355754	-21.28695135
14.34	-0.715044053	-21.28692576
14.4	-0.714770109	-21.28690025
14.46	-0.714534693	-21.28687482
14.52	-0.714338318	-21.28684948
14.58	-0.714181248	-21.28682425
14.64	-0.7140635	-21.28679913
14.7	-0.713984851	-21.28677415
14.76	-0.713944844	-21.28674932
14.82	-0.713942797	-21.28672465
14.88	-0.713977813	-21.28670016
14.94	-0.71404879	-21.28667587
15	-0.714154432	-21.28665179
15.06	-0.714293263	-21.28662794
15.12	-0.71446364	-21.28660434
15.18	-0.714663766	-21.286581
15.24	-0.714891706	-21.28655795
15.3	-0.7151454	-21.2865352
15.36	-0.715422683	-21.28651277
15.42	-0.715721295	-21.28649067
15.48	-0.7160389	-21.28646893
15.54	-0.716373105	-21.28644755
15.6	-0.71672147	-21.28642656
15.66	-0.717081527	-21.28640597
15.72	-0.717450799	-21.28638579
15.78	-0.717826808	-21.28636604
15.84	-0.718207097	-21.28634673
15.9	-0.718589243	-21.28632788
15.96	-0.718970866	-21.28630949
16.02	-0.71934965	-21.28629157
16.08	-0.719723349	-21.28627415
16.14	-0.720089806	-21.28625721
16.2	-0.720446955	-21.28624078
16.26	-0.720792841	-21.28622486
16.32	-0.721125621	-21.28620945
16.38	-0.721443579	-21.28619456
16.44	-0.72174513	-21.28618019
16.5	-0.722028827	-21.28616635
16.56	-0.722293365	-21.28615304
16.62	-0.72253759	-21.28614025
16.68	-0.722760499	-21.28612799
16.74	-0.722961243	-21.28611626
16.8	-0.723139128	-21.28610506
16.86	-0.723293617	-21.28609438
16.92	-0.723424329	-21.28608421
16.98	-0.723531037	-21.28607457
17.04	-0.723613666	-21.28606543
17.1	-0.72367229	-21.2860568
17.16	-0.723707129	-21.28604866
17.22	-0.723718541	-21.28604102
17.28	-0.723707021	-21.28603387
17.34	-0.723673189	-21.28602719
17.4	-0.723617789	-21.28602098
17.46	-0.723541679	-21.28601524
17.52	-0.723445821	-21.28600994
17.58	-0.723331275	-21.28600509
17.64	-0.723199192	-21.28600068
17.7	-0.723050799	-21.2859967
17.76	-0.722887394	-21.28599314
17.82	-0.722710338	-21.28598998
17.88	-0.72252104	-21.28598723
17.94	-0.72232095	-21.28598488
18	-0.722111551	-21.28598291
18.06	-0.721894344	-21.28598131
18.12	-0.721670846	-21.28598009
18.18	-0.721442572	-21.28597923
18.24	-0.721211032	-21.28597873
18.3	-0.720977719	-21.28597858
18.36	-0.720744102	-21.28597877
18.42	-0.720511614	-21.28597931
18.48	-0.72028165	-21.28598017
18.54	-0.720055554	-21.28598137
18.6	-0.719834615	-21.28598289
18.66	-0.719620059	-21.28598474
18.72	-0.719413044	-21.2859869
18.78	-0.719214654	-21.28598939
18.84	-0.719025894	-21.28599218
18.9	-0.718847686	-21.28599529
18.96	-0.718680865	-21.28599872
19.02	-0.718526178	-21.28600246
19.08	-0.718384278	-21.28600651
19.14	-0.718255724	-21.28601088
19.2	-0.718140982	-21.28601556
19.26	-0.718040421	-21.28602056
19.32	-0.717954315	-21.28602588
19.38	-0.717882842	-21.28603152
19.44	-0.717826088	-21.28603749
19.5	-0.717784046	-21.28604378
19.56	-0.717756619	-21.28605041
19.62	-0.717743625	-21.28605737
19.68	-0.717744796	-21.28606467
19.74	-0.717759785	-21.28607232
19.8	-0.717788168	-21.28608031
19.86	-0.717829452	-21.28608866
19.92	-0.717883074	-21.28609737
19.98	-0.71794841	-21.28610643
20.04	-0.718024781	-21.28611587
20.1	-0.718111453	-21.28612567
20.16	-0.718207652	-21.28613585
20.22	-0.71831256	-21.28614641
20.28	-0.718425326	-21.28615736
20.34	-0.718545074	-21.28616869
20.4	-0.718670904	-21.28618042
20.46	-0.718801901	-21.28619255
20.52	-0.71893714	-21.28620507
20.58	-0.719075693	-21.286218
20.64	-0.719216634	-21.28623134
20.7	-0.719359044	-21.28624508
20.76	-0.719502018	-21.28625924
20.82	-0.719644669	-21.28627381
20.88	-0.719786133	-21.2862888
20.94	-0.719925574	-21.2863042
21	-0.72006219	-21.28632003
21.06	-0.720195212	-21.28633627
21.12	-0.720323915	-21.28635293
21.18	-0.720447617	-21.28637
21.24	-0.720565681	-21.2863875
21.3	-0.720677521	-21.28640541
21.36	-0.720782604	-21.28642374
21.42	-0.72088045	-21.28644249
21.48	-0.720970634	-21.28646164
21.54	-0.721052789	-21.2864812
21.6	-0.721126605	-21.28650117
21.66	-0.721191833	-21.28652154
21.72	-0.721248278	-21.28654232
21.78	-0.721295806	-21.28656348
21.84	-0.721334342	-21.28658504
21.9	-0.721363864	-21.28660699
21.96	-0.721384409	-21.28662932
22.02	-0.721396067	-21.28665203
22.08	-0.721398979	-21.28667511
22.14	-0.721393338	-21.28669855
22.2	-0.721379383	-21.28672236
22.26	-0.721357398	-21.28674653
22.32	-0.721327711	-21.28677104
22.38	-0.721290687	-21.2867959
22.44	-0.721246729	-21.2868211
22.5	-0.721196271	-21.28684663
22.56	-0.721139778	-21.28687249
22.62	-0.721077738	-21.28689867
22.68	-0.721010664	-21.28692517
22.74	-0.720939086	-21.28695197
22.8	-0.720863548	-21.28697908
22.86	-0.720784606	-21.28700648
22.92	-0.720702824	-21.28703418
22.98	-0.720618769	-21.28706216
23.04	-0.720533008	-21.28709043
23.1	-0.720446106	-21.28711896
23.16	-0.72035862	-21.28714777
23.22	-0.720271097	-21.28717685
23.28	-0.720184074	-21.28720618
23.34	-0.720098069	-21.28723577
23.4	-0.720013582	-21.28726561
23.46	-0.719931093	-21.28729569
23.52	-0.719851057	-21.28732602
23.58	-0.719773904	-21.28735658
23.64	-0.719700035	-21.28738738
23.7	-0.719629821	-21.28741841
23.76	-0.719563604	-21.28744967
23.82	-0.719501691	-21.28748115
23.88	-0.719444356	-21.28751285
23.94	-0.719391839	-21.28754476
24	-0.719344344	-21.2875769
24.06	-0.71930204	-21.28760924
24.12	-0.719265059	-21.2876418
24.18	-0.719233499	-21.28767456
24.24	-0.719207421	-21.28770753
24.3	-0.719186852	-21.2877407
24.36	-0.719171785	-21.28777407
24.42	-0.719162179	-21.28780765
24.48	-0.719157961	-21.28784142
24.54	-0.719159026	-21.28787539
24.6	-0.71916524	-21.28790955
24.66	-0.719176441	-21.28794391
24.72	-0.719192439	-21.28797845
24.78	-0.719213023	-21.28801319
24.84	-0.719237953	-21.28804812
24.9	-0.719266975	-21.28808323
24.96	-0.71929981	-21.28811854
25.02	-0.719336167	-21.28815402
25.08	-0.719375737	-21.28818969
25.14	-0.719418201	-21.28822554
25.2	-0.719463229	-21.28826157
25.26	-0.719510484	-21.28829778
25.32	-0.719559622	-21.28833416
25.38	-0.719610297	-21.28837072
25.44	-0.719662162	-21.28840745
25.5	-0.719714871	-21.28844436
25.56	-0.719768079	-21.28848143
25.62	-0.719821451	-21.28851866
25.68	-0.719874654	-21.28855606
25.74	-0.719927367	-21.28859362
25.8	-0.719979279	-21.28863134
25.86	-0.720030092	-21.28866921
25.92	-0.720079521	-21.28870724
25.98	-0.720127296	-21.28874541
26.04	-0.720173165	-21.28878373
26.1	-0.720216893	-21.28882219
26.16	-0.720258263	-21.28886079
26.22	-0.720297078	-21.28889952
26.28	-0.720333163	-21.28893839
26.34	-0.72036636	-21.28897738
26.4	-0.720396536	-21.2890165
26.46	-0.720423578	-21.28905573
26.52	-0.720447395	-21.28909508
26.58	-0.720467919	-21.28913453
26.64	-0.720485101	-21.28917409
26.7	-0.720498917	-21.28921376
26.76	-0.720509362	-21.28925351
26.82	-0.720516452	-21.28929336
26.88	-0.720520224	-21.28933329
26.94	-0.720520733	-21.2893733
27	-0.720518055	-21.28941339
27.06	-0.72051228	-21.28945355
27.12	-0.720503519	-21.28949377
27.18	-0.720491895	-21.28953405
27.24	-0.720477548	-21.28957438
27.3	-0.720460629	-21.28961477
27.36	-0.720441304	-21.28965519
27.42	-0.720419746	-21.28969566
27.48	-0.720396141	-21.28973616
27.54	-0.720370681	-21.28977668
27.6	-0.720343564	-21.28981723
27.66	-0.720314996	-21.28985779
27.72	-0.720285185	-21.28989837
27.78	-0.72025434	-21.28993895
27.84	-0.720222676	-21.28997953
27.9	-0.720190403	-21.29002011
27.96	-0.720157732	-21.29006068
28.02	-0.720124872	-21.29010123
28.08	-0.720092027	-21.29014177
28.14	-0.720059396	-21.29018229
28.2	-0.720027172	-21.29022277
28.26	-0.719995542	-21.29026322
28.32	-0.719964684	-21.29030364
28.38	-0.719934767	-21.29034401
28.44	-0.719905949	-21.29038433
28.5	-0.71987838	-21.29042461
28.56	-0.719852198	-21.29046483
28.62	-0.719827528	-21.29050499
28.68	-0.719804482	-21.29054508
28.74	-0.719783163	-21.29058511
28.8	-0.719763658	-21.29062507
28.86	-0.719746041	-21.29066495
28.92	-0.719730374	-21.29070475
28.98	-0.719716704	-21.29074447
29.04	-0.719705066	-21.29078411
29.1	-0.719695481	-21.29082365
29.16	-0.719687957	-21.2908631
29.22	-0.719682489	-21.29090246
29.28	-0.719679062	-21.29094171
29.34	-0.719677645	-21.29098086
29.4	-0.719678199	-21.2910199
29.46	-0.719680671	-21.29105884
29.52	-0.719685	-21.29109766
29.58	-0.719691115	-21.29113636
29.64	-0.719698933	-21.29117494
29.7	-0.719708366	-21.2912134
29.76	-0.719719316	-21.29125174
29.82	-0.71973168	-21.29128994
29.88	-0.719745346	-21.29132802
29.94	-0.7197602	-21.29136596
30	-0.719776121	-21.29140376
30.06	-0.719792986	-21.29144142
30.12	-0.719810667	-21.29147893
30.18	-0.719829036	-21.2915163
30.24	-0.719847964	-21.29155352
30.3	-0.719867321	-21.29159058
30.36	-0.719886976	-21.29162749
30.42	-0.719906804	-21.29166424
30.48	-0.719926676	-21.29170082
30.54	-0.71994647	-21.29173724
30.6	-0.719966067	-21.29177349
30.66	-0.71998535	-21.29180956
30.72	-0.720004209	-21.29184546
30.78	-0.720022538	-21.29188118
30.84	-0.720040237	-21.29191672
30.9	-0.720057213	-21.29195207
30.96	-0.720073379	-21.29198723
31.02	-0.720088654	-21.2920222
31.08	-0.720102966	-21.29205697
31.14	-0.720116251	-21.29209154
31.2	-0.72012845	-21.29212591
31.26	-0.720139514	-21.29216007
31.32	-0.720149403	-21.29219402
31.38	-0.720158083	-21.29222776
31.44	-0.72016553	-21.29226128
31.5	-0.720171727	-21.29229457
31.56	-0.720176665	-21.29232765
31.62	-0.720180344	-21.29236049
31.68	-0.72018277	-21.2923931
31.74	-0.720183958	-21.29242547
31.8	-0.720183931	-21.29245761
31.86	-0.720182716	-21.2924895
31.92	-0.720180349	-21.29252114
31.98	-0.720176872	-21.29255253
32.04	-0.720172331	-21.29258367
32.1	-0.720166781	-21.29261455
32.16	-0.720160277	-21.29264517
32.22	-0.720152882	-21.29267553
32.28	-0.720144663	-21.29270561
32.34	-0.720135687	-21.29273543
32.4	-0.720126029	-21.29276497
32.46	-0.720115761	-21.29279423
32.52	-0.720104961	-21.2928232
32.58	-0.720093707	-21.29285189
32.64	-0.720082077	-21.2928803
32.7	-0.720070152	-21.29290841
32.76	-0.720058009	-21.29293622
32.82	-0.720045728	-21.29296374
32.88	-0.720033386	-21.29299095
32.94	-0.72002106	-21.29301786
33	-0.720008824	-21.29304447
33.06	-0.71999675	-21.29307076
33.12	-0.719984907	-21.29309674
33.18	-0.719973361	-21.2931224
33.24	-0.719962176	-21.29314774
33.3	-0.71995141	-21.29317276
33.36	-0.719941119	-21.29319746
33.42	-0.719931354	-21.29322183
33.48	-0.719922161	-21.29324587
33.54	-0.719913581	-21.29326958
33.6	-0.719905653	-21.29329296
33.66	-0.719898407	-21.29331599
33.72	-0.719891872	-21.29333869
33.78	-0.71988607	-21.29336105
33.84	-0.719881017	-21.29338307
33.9	-0.719876727	-21.29340474
33.96	-0.719873206	-21.29342606
34.02	-0.719870457	-21.29344704
34.08	-0.719868477	-21.29346766
34.14	-0.71986726	-21.29348793
34.2	-0.719866795	-21.29350785
34.26	-0.719867065	-21.29352741
34.32	-0.719868052	-21.29354661
34.38	-0.719869732	-21.29356546
34.44	-0.719872077	-21.29358394
34.5	-0.719875057	-21.29360205
34.56	-0.719878639	-21.29361981
34.62	-0.719882785	-21.2936372
34.68	-0.719887456	-21.29365422
34.74	-0.719892611	-21.29367087
34.8	-0.719898207	-21.29368715
34.86	-0.719904199	-21.29370306
34.92	-0.719910539	-21.2937186
34.98	-0.71991718	-21.29373376
35.04	-0.719924075	-21.29374855
35.1	-0.719931175	-21.29376296
35.16	-0.71993843	-21.29377699
35.22	-0.719945794	-21.29379064
35.28	-0.719953217	-21.29380391
35.34	-0.719960653	-21.2938168
35.4	-0.719968056	-21.29382931
35.46	-0.719975381	-21.29384144
35.52	-0.719982586	-21.29385318
35.58	-0.71998963	-21.29386453
35.64	-0.719996472	-21.2938755
35.7	-0.720003076	-21.29388608
35.76	-0.720009408	-21.29389627
35.82	-0.720015434	-21.29390607
35.88	-0.720021127	-21.29391548
35.94	-0.720026458	-21.2939245
36	-0.720031403	-21.29393312
36.06	-0.720035942	-21.29394135
36.12	-0.720040057	-21.29394919
36.18	-0.720043731	-21.29395663
36.24	-0.720046954	-21.29396367
36.3	-0.720049716	-21.29397032
36.36	-0.720052011	-21.29397657
36.42	-0.720053837	-21.29398242
36.48	-0.720055192	-21.29398788
36.54	-0.720056081	-21.29399293
36.6	-0.720056509	-21.29399758
36.66	-0.720056484	-21.29400183
36.72	-0.720056017	-21.29400568
36.78	-0.720055123	-21.29400913
36.84	-0.720053816	-21.29401217
36.9	-0.720052115	-21.29401481
36.96	-0.72005004	-21.29401705
37.02	-0.720047612	-21.29401888
37.08	-0.720044854	-21.29402031
37.14	-0.720041792	-21.29402133
37.2	-0.720038452	-21.29402195
37.26	-0.72003486	-21.29402216
37.32	-0.720031044	-21.29402197
37.38	-0.720027033	-21.29402137
37.44	-0.720022857	-21.29402037
37.5	-0.720018544	-21.29401896
37.56	-0.720014124	-21.29401714
37.62	-0.720009628	-21.29401492
37.68	-0.720005083	-21.29401229
37.74	-0.720000519	-21.29400926
37.8	-0.719995964	-21.29400582
37.86	-0.719991447	-21.29400198
37.92	-0.719986994	-21.29399773
37.98	-0.719982631	-21.29399307
38.04	-0.719978382	-21.29398802
38.1	-0.719974272	-21.29398256
38.16	-0.719970321	-21.29397669
38.22	-0.719966551	-21.29397042
38.28	-0.719962981	-21.29396376
38.34	-0.719959627	-21.29395668
38.4	-0.719956506	-21.29394921
38.46	-0.71995363	-21.29394134
38.52	-0.719951012	-21.29393307
38.58	-0.719948661	-21.2939244
38.64	-0.719946586	-21.29391534
38.7	-0.719944793	-21.29390588
38.76	-0.719943286	-21.29389602
38.82	-0.719942068	-21.29388577
38.88	-0.719941139	-21.29387512
38.94	-0.719940499	-21.29386409
39	-0.719940144	-21.29385266
39.06	-0.719940071	-21.29384084
39.12	-0.719940273	-21.29382863
39.18	-0.719940743	-21.29381604
39.24	-0.719941473	-21.29380306
39.3	-0.719942451	-21.2937897
39.36	-0.719943667	-21.29377595
39.42	-0.719945108	-21.29376183
39.48	-0.71994676	-21.29374732
39.54	-0.719948608	-21.29373244
39.6	-0.719950637	-21.29371717
39.66	-0.719952831	-21.29370154
39.72	-0.719955171	-21.29368553
39.78	-0.719957642	-21.29366915
39.84	-0.719960225	-21.2936524
39.9	-0.719962902	-21.29363528
39.96	-0.719965655	-21.29361779
40.02	-0.719968466	-21.29359994
40.08	-0.719971316	-21.29358173
40.14	-0.719974187	-21.29356316
40.2	-0.719977063	-21.29354423
40.26	-0.719979926	-21.29352494
40.32	-0.719982759	-21.2935053
40.38	-0.719985547	-21.2934853
40.44	-0.719988274	-21.29346496
40.5	-0.719990925	-21.29344426
40.56	-0.719993488	-21.29342322
40.62	-0.719995948	-21.29340184
40.68	-0.719998295	-21.29338011
40.74	-0.720000517	-21.29335804
40.8	-0.720002603	-21.29333564
40.86	-0.720004546	-21.2933129
40.92	-0.720006337	-21.29328983
40.98	-0.72000797	-21.29326642
41.04	-0.720009438	-21.29324269
41.1	-0.720010738	-21.29321864
41.16	-0.720011866	-21.29319425
41.22	-0.720012819	-21.29316955
41.28	-0.720013597	-21.29314453
41.34	-0.7200142	-21.29311919
41.4	-0.720014628	-21.29309354
41.46	-0.720014885	-21.29306758
41.52	-0.720014973	-21.29304131
41.58	-0.720014896	-21.29301473
41.64	-0.72001466	-21.29298785
41.7	-0.720014271	-21.29296067
41.76	-0.720013735	-21.29293319
41.82	-0.72001306	-21.29290542
41.88	-0.720012254	-21.29287735
41.94	-0.720011326	-21.29284899
42	-0.720010285	-21.29282035
42.06	-0.720009141	-21.29279142
42.12	-0.720007904	-21.29276221
42.18	-0.720006584	-21.29273272
42.24	-0.720005192	-21.29270296
42.3	-0.720003738	-21.29267292
42.36	-0.720002234	-21.29264262
42.42	-0.720000691	-21.29261204
42.48	-0.71999912	-21.29258121
42.54	-0.719997532	-21.29255011
42.6	-0.719995936	-21.29251876
42.66	-0.719994345	-21.29248715
42.72	-0.719992769	-21.29245529
42.78	-0.719991217	-21.29242318
42.84	-0.7199897	-21.29239082
42.9	-0.719988227	-21.29235823
42.96	-0.719986805	-21.2923254
43.02	-0.719985445	-21.29229233
43.08	-0.719984154	-21.29225903
43.14	-0.719982937	-21.2922255
43.2	-0.719981804	-21.29219175
43.26	-0.719980757	-21.29215777
43.32	-0.719979804	-21.29212358
43.38	-0.719978948	-21.29208917
43.44	-0.719978194	-21.29205455
43.5	-0.719977543	-21.29201973
43.56	-0.719976998	-21.2919847
43.62	-0.719976562	-21.29194946
43.68	-0.719976234	-21.29191404
43.74	-0.719976015	-21.29187841
43.8	-0.719975905	-21.2918426
43.86	-0.719975903	-21.2918066
43.92	-0.719976007	-21.29177042
43.98	-0.719976215	-21.29173406
44.04	-0.719976524	-21.29169753
44.1	-0.719976932	-21.29166082
44.16	-0.719977433	-21.29162395
44.22	-0.719978024	-21.29158691
44.28	-0.719978701	-21.29154972
44.34	-0.719979458	-21.29151236
44.4	-0.719980289	-21.29147486
44.46	-0.719981189	-21.2914372
44.52	-0.719982151	-21.2913994
44.58	-0.719983169	-21.29136146
44.64	-0.719984237	-21.29132338
44.7	-0.719985346	-21.29128517
44.76	-0.719986492	-21.29124683
44.82	-0.719987666	-21.29120836
44.88	-0.719988862	-21.29116978
44.94	-0.719990072	-21.29113107
45	-0.71999129	-21.29109225
45.06	-0.71999251	-21.29105332
45.12	-0.719993724	-21.29101429
45.18	-0.719994927	-21.29097515
45.24	-0.719996113	-21.29093592
45.3	-0.719997275	-21.29089659
45.36	-0.719998408	-21.29085717
45.42	-0.719999507	-21.29081767
45.48	-0.720000568	-21.29077808
45.54	-0.720001584	-21.29073842
45.6	-0.720002553	-21.29069868
45.66	-0.72000347	-21.29065887
45.72	-0.720004333	-21.290619
45.78	-0.720005136	-21.29057906
45.84	-0.720005879	-21.29053907
45.9	-0.720006559	-21.29049902
45.96	-0.720007174	-21.29045892
46.02	-0.720007722	-21.29041878
46.08	-0.720008204	-21.29037859
46.14	-0.720008617	-21.29033837
46.2	-0.720008963	-21.29029812
46.26	-0.720009241	-21.29025783
46.32	-0.720009453	-21.29021752
46.38	-0.7200096	-21.29017718
46.44	-0.720009683	-21.29013683
46.5	-0.720009704	-21.29009647
46.56	-0.720009666	-21.29005609
