Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
5.25               -0.0302         -1.7309
5.28               -0.0317         -1.8180
5.31               -0.0332         -1.9050
5.34               -0.0347         -1.9918
5.37               -0.0363         -2.0783
5.40               -0.0378         -2.1647
5.43               -0.0393         -2.2509
5.46               -0.0408         -2.3368
5.49               -0.0423         -2.4226
5.52               -0.0438         -2.5080
5.55               -0.0452         -2.5933
5.58               -0.0467         -2.6783
5.61               -0.0482         -2.7631
5.64               -0.0497         -2.8476
5.67               -0.0511         -2.9318
5.70               -0.0526         -3.0157
5.73               -0.0541         -3.0994
5.76               -0.0555         -3.1828
5.79               -0.0570         -3.2659
5.82               -0.0584         -3.3487
5.85               -0.0599         -3.4312
5.88               -0.0613         -3.5134
5.91               -0.0627         -3.5952
5.94               -0.0641         -3.6767
5.97               -0.0656         -3.7579
6.00               -0.0670         -3.8388
6.03               -0.0684         -3.9193
6.06               -0.0698         -3.9994
6.09               -0.0712         -4.0792
6.12               -0.0725         -4.1585
6.15               -0.0739         -4.2376
6.18               -0.0753         -4.3162
6.21               -0.0767         -4.3944
6.24               -0.0780         -4.4722
6.27               -0.0794         -4.5497
6.30               -0.0807         -4.6267
6.33               -0.0820         -4.7032
6.36               -0.0834         -4.7794
6.39               -0.0847         -4.8551
6.42               -0.0860         -4.9304
6.45               -0.0873         -5.0052
6.48               -0.0886         -5.0796
6.51               -0.0899         -5.1535
6.54               -0.0912         -5.2269
6.57               -0.0925         -5.2999
6.60               -0.0937         -5.3724
6.63               -0.0950         -5.4444
6.66               -0.0962         -5.5159
6.69               -0.0975         -5.5869
6.72               -0.0987         -5.6573
6.75               -0.0999         -5.7273
6.78               -0.1011         -5.7967
6.81               -0.1023         -5.8656
6.84               -0.1035         -5.9340
6.87               -0.1047         -6.0018
6.90               -0.1059         -6.0691
6.93               -0.1070         -6.1358
6.96               -0.1082         -6.2020
6.99               -0.1093         -6.2676
7.02               -0.1105         -6.3326
7.05               -0.1116         -6.3970
7.08               -0.1127         -6.4608
7.11               -0.1138         -6.5240
7.14               -0.1149         -6.5867
7.17               -0.1160         -6.6487
7.20               -0.1171         -6.7101
7.23               -0.1181         -6.7709
7.26               -0.1192         -6.8310
7.29               -0.1202         -6.8905
7.32               -0.1212         -6.9494
7.35               -0.1222         -7.0076
7.38               -0.1232         -7.0651
7.41               -0.1242         -7.1220
7.44               -0.1252         -7.1782
7.47               -0.1262         -7.2338
7.50               -0.1271         -7.2886
7.53               -0.1281         -7.3428
7.56               -0.1290         -7.3963
7.59               -0.1299         -7.4491
7.62               -0.1309         -7.5011
7.65               -0.1317         -7.5525
7.68               -0.1326         -7.6031
7.71               -0.1335         -7.6530
7.74               -0.1344         -7.7021
7.77               -0.1352         -7.7506
7.80               -0.1360         -7.7982
7.83               -0.1369         -7.8452
7.86               -0.1377         -7.8913
7.89               -0.1385         -7.9367
7.92               -0.1392         -7.9814
7.95               -0.1400         -8.0253
7.98               -0.1407         -8.0683
8.01               -0.1415         -8.1107
8.04               -0.1422         -8.1522
8.07               -0.1429         -8.1929
8.10               -0.1436         -8.2328
8.13               -0.1443         -8.2720
8.16               -0.1450         -8.3103
8.19               -0.1456         -8.3478
8.22               -0.1463         -8.3845
8.25               -0.1469         -8.4203
8.28               -0.1475         -8.4554
8.31               -0.1481         -8.4896
8.34               -0.1487         -8.5230
8.37               -0.1492         -8.5556
8.40               -0.1498         -8.5873
8.43               -0.1503         -8.6182
8.46               -0.1509         -8.6482
8.49               -0.1514         -8.6774
8.52               -0.1519         -8.7058
8.55               -0.1523         -8.7332
8.58               -0.1528         -8.7599
8.61               -0.1533         -8.7857
8.64               -0.1537         -8.8106
8.67               -0.1541         -8.8347
8.70               -0.1545         -8.8579
8.73               -0.1549         -8.8802
8.76               -0.1553         -8.9017
8.79               -0.1556         -8.9223
8.82               -0.1560         -8.9420
8.85               -0.1563         -8.9609
8.88               -0.1566         -8.9789
8.91               -0.1569         -8.9961
8.94               -0.1572         -9.0123
8.97               -0.1575         -9.0277
9.00               -0.1577         -9.0422
9.03               -0.1580         -9.0559
9.06               -0.1582         -9.0687
9.09               -0.1584         -9.0806
9.12               -0.1586         -9.0916
9.15               -0.1588         -9.1018
9.18               -0.1589         -9.1110
9.21               -0.1591         -9.1195
9.24               -0.1592         -9.1270
9.27               -0.1593         -9.1337
9.30               -0.1594         -9.1395
9.33               -0.1595         -9.1444
9.36               -0.1596         -9.1485
9.39               -0.1596         -9.1517
9.42               -0.1597         -9.1540
9.45               -0.1597         -9.1554
9.48               -0.1597         -9.1560
9.51               -0.1597         -9.1557
9.54               -0.1597         -9.1546
9.57               -0.1597         -9.1526
9.60               -0.1596         -9.1497
9.63               -0.1595         -9.1460
9.66               -0.1595         -9.1414
9.69               -0.1594         -9.1359
9.72               -0.1593         -9.1296
9.75               -0.1591         -9.1224
9.78               -0.1590         -9.1144
9.81               -0.1588         -9.1055
9.84               -0.1587         -9.0958
9.87               -0.1585         -9.0852
9.90               -0.1583         -9.0737
9.93               -0.1581         -9.0614
9.96               -0.1578         -9.0483
9.99               -0.1576         -9.0343
10.02              -0.1573         -9.0195
10.05              -0.1571         -9.0038
10.08              -0.1568         -8.9873
10.11              -0.1565         -8.9699
10.14              -0.1562         -8.9517
10.17              -0.1558         -8.9326
10.20              -0.1555         -8.9128
10.23              -0.1551         -8.8920
10.26              -0.1547         -8.8705
10.29              -0.1544         -8.8481
10.32              -0.1539         -8.8249
10.35              -0.1535         -8.8008
10.38              -0.1531         -8.7760
10.41              -0.1526         -8.7503
10.44              -0.1522         -8.7238
10.47              -0.1517         -8.6964
10.50              -0.1512         -8.6683
10.53              -0.1507         -8.6393
10.56              -0.1502         -8.6095
10.59              -0.1497         -8.5789
10.62              -0.1491         -8.5475
10.65              -0.1485         -8.5153
10.68              -0.1480         -8.4823
10.71              -0.1474         -8.4485
10.74              -0.1468         -8.4139
10.77              -0.1462         -8.3785
10.80              -0.1455         -8.3423
10.83              -0.1449         -8.3053
10.86              -0.1442         -8.2675
10.89              -0.1435         -8.2290
10.92              -0.1429         -8.1896
10.95              -0.1422         -8.1495
10.98              -0.1415         -8.1086
11.01              -0.1407         -8.0670
11.04              -0.1400         -8.0245
11.07              -0.1392         -7.9814
11.10              -0.1385         -7.9374
11.13              -0.1377         -7.8927
11.16              -0.1369         -7.8473
11.19              -0.1361         -7.8011
11.22              -0.1353         -7.7542
11.25              -0.1344         -7.7065
11.28              -0.1336         -7.6581
11.31              -0.1327         -7.6090
11.34              -0.1319         -7.5591
11.37              -0.1310         -7.5086
11.40              -0.1301         -7.4573
11.43              -0.1292         -7.4053
11.46              -0.1283         -7.3527
11.49              -0.1273         -7.2993
11.52              -0.1264         -7.2452
11.55              -0.1254         -7.1905
11.58              -0.1245         -7.1350
11.61              -0.1235         -7.0789
11.64              -0.1225         -7.0222
11.67              -0.1215         -6.9647
11.70              -0.1205         -6.9066
11.73              -0.1195         -6.8479
11.76              -0.1184         -6.7885
11.79              -0.1174         -6.7285
11.82              -0.1163         -6.6678
11.85              -0.1152         -6.6066
11.88              -0.1142         -6.5447
11.91              -0.1131         -6.4822
11.94              -0.1120         -6.4191
11.97              -0.1109         -6.3554
12.00              -0.1097         -6.2911
12.03              -0.1086         -6.2262
12.06              -0.1075         -6.1607
12.09              -0.1063         -6.0947
12.12              -0.1052         -6.0281
12.15              -0.1040         -5.9610
12.18              -0.1028         -5.8933
12.21              -0.1016         -5.8251
12.24              -0.1004         -5.7563
12.27              -0.0992         -5.6870
12.30              -0.0980         -5.6172
12.33              -0.0968         -5.5468
12.36              -0.0955         -5.4760
12.39              -0.0943         -5.4047
12.42              -0.0930         -5.3329
12.45              -0.0918         -5.2605
12.48              -0.0905         -5.1878
12.51              -0.0892         -5.1145
12.54              -0.0879         -5.0408
12.57              -0.0866         -4.9666
12.60              -0.0853         -4.8920
12.63              -0.0840         -4.8169
12.66              -0.0827         -4.7415
12.69              -0.0814         -4.6656
12.72              -0.0801         -4.5892
12.75              -0.0787         -4.5125
12.78              -0.0774         -4.4353
12.81              -0.0760         -4.3578
12.84              -0.0747         -4.2799
12.87              -0.0733         -4.2016
12.90              -0.0719         -4.1229
12.93              -0.0705         -4.0439
12.96              -0.0692         -3.9645
12.99              -0.0678         -3.8848
13.02              -0.0664         -3.8047
13.05              -0.0650         -3.7242
13.08              -0.0636         -3.6435
13.11              -0.0621         -3.5624
13.14              -0.0607         -3.4810
13.17              -0.0593         -3.3994
13.20              -0.0579         -3.3174
13.23              -0.0564         -3.2351
13.26              -0.0550         -3.1525
13.29              -0.0535         -3.0697
13.32              -0.0521         -2.9866
13.35              -0.0506         -2.9032
13.38              -0.0492         -2.8196
13.41              -0.0477         -2.7358
13.44              -0.0463         -2.6517
13.47              -0.0448         -2.5673
13.50              -0.0433         -2.4828
13.53              -0.0418         -2.3980
13.56              -0.0403         -2.3130
13.59              -0.0389         -2.2278
13.62              -0.0374         -2.1425
13.65              -0.0359         -2.0569
13.68              -0.0344         -1.9711
13.71              -0.0329         -1.8852
13.74              -0.0314         -1.7992
13.77              -0.0299         -1.7129
13.80              -0.0284         -1.6265
13.83              -0.0269         -1.5400
13.86              -0.0254         -1.4533
13.89              -0.0238         -1.3666
13.92              -0.0223         -1.2796
13.95              -0.0208         -1.1926
13.98              -0.0193         -1.1055
14.01              -0.0178         -1.0183
14.04              -0.0162         -0.9310
14.07              -0.0147         -0.8436
14.10              -0.0132         -0.7561
14.13              -0.0117         -0.6686
14.16              -0.0101         -0.5810
14.19              -0.0086         -0.4934
14.22              -0.0071         -0.4057
14.25              -0.0055         -0.3180
14.28              -0.0040         -0.2303
14.31              -0.0025         -0.1425
14.34              -0.0010         -0.0548
14.37               0.0006          0.0330
14.40               0.0021          0.1208
14.43               0.0036          0.2085
14.46               0.0052          0.2963
