Time (s)            Body0_x (m)     Body0_y (m)     Body0_z (m)     Body1_x (m)     Body1_y (m)     Body1_z (m)     
4.26                -0.0792         0.0000          -0.7348         -0.0553         0.0000          -21.2674        
4.32                -0.0818         0.0000          -0.7368         -0.0572         0.0000          -21.2676        
4.38                -0.0844         0.0000          -0.7388         -0.0591         0.0000          -21.2679        
4.44                -0.0870         0.0000          -0.7408         -0.0611         0.0000          -21.2682        
4.50                -0.0896         0.0000          -0.7427         -0.0631         0.0000          -21.2685        
4.56                -0.0922         0.0000          -0.7445         -0.0652         0.0000          -21.2689        
4.62                -0.0949         0.0000          -0.7464         -0.0672         0.0000          -21.2693        
4.68                -0.0976         0.0000          -0.7482         -0.0693         0.0000          -21.2697        
4.74                -0.1003         0.0000          -0.7499         -0.0714         0.0000          -21.2701        
4.80                -0.1030         0.0000          -0.7516         -0.0736         0.0000          -21.2706        
4.86                -0.1057         0.0000          -0.7533         -0.0757         0.0000          -21.2711        
4.92                -0.1084         0.0000          -0.7549         -0.0779         0.0000          -21.2716        
4.98                -0.1112         0.0000          -0.7564         -0.0801         0.0000          -21.2722        
5.04                -0.1139         0.0000          -0.7579         -0.0823         0.0000          -21.2728        
5.10                -0.1166         0.0000          -0.7593         -0.0845         0.0000          -21.2734        
5.16                -0.1194         -0.0000         -0.7607         -0.0867         0.0000          -21.2740        
5.22                -0.1221         -0.0000         -0.7620         -0.0890         0.0000          -21.2747        
5.28                -0.1249         -0.0000         -0.7632         -0.0913         0.0000          -21.2754        
5.34                -0.1276         -0.0000         -0.7644         -0.0935         0.0000          -21.2761        
5.40                -0.1303         -0.0000         -0.7656         -0.0958         0.0000          -21.2768        
5.46                -0.1330         -0.0000         -0.7666         -0.0981         0.0000          -21.2775        
5.52                -0.1357         -0.0000         -0.7676         -0.1005         0.0000          -21.2783        
5.58                -0.1384         -0.0000         -0.7685         -0.1028         0.0000          -21.2791        
5.64                -0.1411         -0.0000         -0.7694         -0.1051         0.0000          -21.2799        
5.70                -0.1438         -0.0000         -0.7702         -0.1075         0.0000          -21.2807        
5.76                -0.1465         -0.0000         -0.7709         -0.1098         0.0000          -21.2815        
5.82                -0.1491         -0.0000         -0.7715         -0.1122         0.0000          -21.2823        
5.88                -0.1517         -0.0000         -0.7721         -0.1145         0.0000          -21.2832        
5.94                -0.1543         -0.0000         -0.7726         -0.1169         0.0000          -21.2841        
6.00                -0.1569         -0.0000         -0.7731         -0.1192         0.0000          -21.2849        
6.06                -0.1594         -0.0000         -0.7735         -0.1216         0.0000          -21.2858        
6.12                -0.1619         -0.0000         -0.7738         -0.1239         0.0000          -21.2867        
6.18                -0.1644         -0.0000         -0.7740         -0.1263         0.0000          -21.2876        
6.24                -0.1668         -0.0000         -0.7742         -0.1287         0.0000          -21.2886        
6.30                -0.1693         -0.0000         -0.7743         -0.1310         0.0000          -21.2895        
6.36                -0.1716         -0.0000         -0.7743         -0.1333         0.0000          -21.2904        
6.42                -0.1740         -0.0000         -0.7743         -0.1357         0.0000          -21.2913        
6.48                -0.1763         -0.0000         -0.7742         -0.1380         0.0000          -21.2923        
6.54                -0.1786         -0.0000         -0.7740         -0.1404         0.0000          -21.2932        
6.60                -0.1808         -0.0000         -0.7738         -0.1427         0.0000          -21.2941        
6.66                -0.1830         -0.0000         -0.7735         -0.1450         0.0000          -21.2951        
6.72                -0.1851         -0.0000         -0.7731         -0.1473         0.0000          -21.2960        
6.78                -0.1872         -0.0000         -0.7727         -0.1496         0.0000          -21.2969        
6.84                -0.1893         -0.0000         -0.7722         -0.1518         0.0000          -21.2979        
6.90                -0.1913         -0.0000         -0.7716         -0.1541         0.0000          -21.2988        
6.96                -0.1932         -0.0000         -0.7710         -0.1563         0.0000          -21.2997        
7.02                -0.1951         -0.0000         -0.7703         -0.1586         0.0000          -21.3006        
7.08                -0.1970         -0.0000         -0.7695         -0.1608         0.0000          -21.3015        
7.14                -0.1988         -0.0000         -0.7687         -0.1630         0.0000          -21.3024        
7.20                -0.2005         -0.0000         -0.7679         -0.1652         0.0000          -21.3033        
7.26                -0.2022         -0.0000         -0.7669         -0.1673         0.0000          -21.3042        
7.32                -0.2039         -0.0000         -0.7660         -0.1695         0.0000          -21.3050        
7.38                -0.2055         -0.0000         -0.7649         -0.1716         0.0000          -21.3059        
7.44                -0.2070         -0.0000         -0.7638         -0.1737         0.0000          -21.3067        
7.50                -0.2085         -0.0000         -0.7627         -0.1758         0.0000          -21.3075        
7.56                -0.2099         -0.0000         -0.7615         -0.1778         0.0000          -21.3084        
7.62                -0.2113         -0.0000         -0.7603         -0.1799         0.0000          -21.3091        
7.68                -0.2126         -0.0000         -0.7590         -0.1819         0.0000          -21.3099        
7.74                -0.2138         -0.0000         -0.7576         -0.1839         0.0000          -21.3107        
7.80                -0.2150         -0.0000         -0.7562         -0.1859         0.0000          -21.3114        
7.86                -0.2161         -0.0000         -0.7548         -0.1878         0.0000          -21.3121        
7.92                -0.2172         -0.0000         -0.7533         -0.1897         0.0000          -21.3128        
7.98                -0.2182         -0.0000         -0.7518         -0.1916         0.0000          -21.3135        
8.04                -0.2192         -0.0000         -0.7503         -0.1935         0.0000          -21.3142        
8.10                -0.2201         -0.0000         -0.7487         -0.1953         0.0000          -21.3148        
8.16                -0.2209         -0.0000         -0.7471         -0.1971         0.0000          -21.3154        
8.22                -0.2217         -0.0000         -0.7454         -0.1989         0.0000          -21.3160        
8.28                -0.2224         -0.0000         -0.7438         -0.2007         0.0000          -21.3166        
8.34                -0.2230         -0.0000         -0.7421         -0.2024         0.0000          -21.3171        
8.40                -0.2236         -0.0000         -0.7403         -0.2041         0.0000          -21.3176        
8.46                -0.2242         -0.0000         -0.7386         -0.2058         0.0000          -21.3181        
8.52                -0.2247         -0.0000         -0.7368         -0.2074         0.0000          -21.3186        
8.58                -0.2251         -0.0000         -0.7350         -0.2090         0.0000          -21.3190        
8.64                -0.2255         -0.0000         -0.7332         -0.2106         0.0000          -21.3194        
8.70                -0.2258         -0.0000         -0.7313         -0.2122         0.0000          -21.3198        
8.76                -0.2260         -0.0000         -0.7295         -0.2137         0.0000          -21.3201        
8.82                -0.2263         -0.0000         -0.7276         -0.2152         0.0000          -21.3204        
8.88                -0.2264         -0.0000         -0.7258         -0.2167         0.0000          -21.3207        
8.94                -0.2265         -0.0000         -0.7239         -0.2181         0.0000          -21.3210        
9.00                -0.2266         -0.0000         -0.7220         -0.2195         0.0000          -21.3212        
9.06                -0.2266         -0.0000         -0.7201         -0.2209         0.0000          -21.3214        
9.12                -0.2265         -0.0000         -0.7182         -0.2223         0.0000          -21.3216        
9.18                -0.2264         -0.0000         -0.7164         -0.2236         0.0000          -21.3218        
9.24                -0.2263         -0.0000         -0.7145         -0.2249         0.0000          -21.3219        
9.30                -0.2261         -0.0000         -0.7126         -0.2262         0.0000          -21.3220        
9.36                -0.2259         -0.0000         -0.7108         -0.2274         0.0000          -21.3220        
9.42                -0.2257         -0.0000         -0.7089         -0.2286         0.0000          -21.3221        
9.48                -0.2254         -0.0000         -0.7071         -0.2298         0.0000          -21.3220        
9.54                -0.2250         -0.0000         -0.7053         -0.2310         0.0000          -21.3220        
9.60                -0.2246         -0.0000         -0.7035         -0.2321         0.0000          -21.3220        
9.66                -0.2242         -0.0000         -0.7017         -0.2332         0.0000          -21.3219        
9.72                -0.2238         -0.0000         -0.6999         -0.2343         0.0000          -21.3217        
9.78                -0.2233         -0.0000         -0.6982         -0.2354         0.0000          -21.3216        
9.84                -0.2228         -0.0000         -0.6965         -0.2364         0.0000          -21.3214        
9.90                -0.2222         -0.0000         -0.6948         -0.2374         0.0000          -21.3212        
9.96                -0.2216         -0.0000         -0.6931         -0.2384         0.0000          -21.3210        
10.02               -0.2210         -0.0000         -0.6914         -0.2393         0.0000          -21.3207        
10.08               -0.2204         -0.0000         -0.6898         -0.2403         0.0000          -21.3204        
10.14               -0.2197         -0.0000         -0.6882         -0.2412         0.0000          -21.3201        
10.20               -0.2190         -0.0000         -0.6867         -0.2420         0.0000          -21.3198        
10.26               -0.2183         -0.0000         -0.6851         -0.2429         0.0000          -21.3194        
10.32               -0.2176         -0.0000         -0.6837         -0.2437         0.0000          -21.3190        
10.38               -0.2169         -0.0000         -0.6822         -0.2445         0.0000          -21.3186        
10.44               -0.2161         -0.0000         -0.6809         -0.2453         0.0000          -21.3181        
10.50               -0.2153         -0.0000         -0.6795         -0.2461         0.0000          -21.3177        
10.56               -0.2146         -0.0000         -0.6782         -0.2468         0.0000          -21.3172        
10.62               -0.2138         -0.0000         -0.6770         -0.2476         0.0000          -21.3167        
10.68               -0.2130         -0.0000         -0.6758         -0.2483         0.0000          -21.3161        
10.74               -0.2122         -0.0000         -0.6747         -0.2490         0.0000          -21.3156        
10.80               -0.2114         -0.0000         -0.6736         -0.2497         0.0000          -21.3150        
10.86               -0.2107         -0.0000         -0.6726         -0.2503         0.0000          -21.3144        
10.92               -0.2099         -0.0000         -0.6717         -0.2510         0.0000          -21.3138        
10.98               -0.2092         -0.0000         -0.6708         -0.2516         0.0000          -21.3132        
11.04               -0.2084         -0.0000         -0.6700         -0.2523         0.0000          -21.3125        
11.10               -0.2077         -0.0000         -0.6692         -0.2529         0.0000          -21.3118        
11.16               -0.2070         -0.0000         -0.6685         -0.2535         0.0000          -21.3111        
11.22               -0.2063         -0.0000         -0.6679         -0.2541         0.0000          -21.3104        
11.28               -0.2056         -0.0000         -0.6673         -0.2547         0.0000          -21.3097        
11.34               -0.2049         -0.0000         -0.6668         -0.2553         0.0000          -21.3090        
11.40               -0.2043         -0.0000         -0.6664         -0.2558         0.0000          -21.3083        
11.46               -0.2037         -0.0000         -0.6660         -0.2564         0.0000          -21.3075        
11.52               -0.2032         -0.0000         -0.6658         -0.2570         0.0000          -21.3067        
11.58               -0.2026         -0.0000         -0.6655         -0.2575         0.0000          -21.3060        
11.64               -0.2022         -0.0000         -0.6654         -0.2581         0.0000          -21.3052        
11.70               -0.2017         -0.0000         -0.6653         -0.2586         0.0000          -21.3044        
11.76               -0.2013         -0.0000         -0.6653         -0.2592         0.0000          -21.3036        
11.82               -0.2009         -0.0000         -0.6653         -0.2597         0.0000          -21.3028        
11.88               -0.2006         -0.0000         -0.6654         -0.2603         0.0000          -21.3020        
11.94               -0.2003         -0.0000         -0.6656         -0.2608         0.0000          -21.3012        
12.00               -0.2000         0.0000          -0.6659         -0.2614         0.0000          -21.3004        
12.06               -0.1998         0.0000          -0.6662         -0.2620         0.0000          -21.2995        
12.12               -0.1997         0.0000          -0.6665         -0.2625         0.0000          -21.2987        
12.18               -0.1996         0.0000          -0.6670         -0.2631         0.0000          -21.2979        
12.24               -0.1996         0.0000          -0.6675         -0.2636         0.0000          -21.2971        
12.30               -0.1996         0.0000          -0.6681         -0.2642         0.0000          -21.2963        
12.36               -0.1997         0.0000          -0.6687         -0.2648         0.0000          -21.2955        
12.42               -0.1998         0.0000          -0.6694         -0.2654         0.0000          -21.2947        
12.48               -0.2000         0.0000          -0.6701         -0.2660         0.0000          -21.2938        
12.54               -0.2002         0.0000          -0.6709         -0.2666         0.0000          -21.2930        
12.60               -0.2006         0.0000          -0.6718         -0.2672         0.0000          -21.2923        
12.66               -0.2009         0.0000          -0.6727         -0.2678         0.0000          -21.2915        
12.72               -0.2014         0.0000          -0.6737         -0.2684         0.0000          -21.2907        
12.78               -0.2019         0.0000          -0.6747         -0.2691         0.0000          -21.2899        
12.84               -0.2024         0.0000          -0.6758         -0.2697         0.0000          -21.2892        
12.90               -0.2031         0.0000          -0.6769         -0.2704         0.0000          -21.2884        
12.96               -0.2038         0.0000          -0.6781         -0.2710         0.0000          -21.2877        
13.02               -0.2046         0.0000          -0.6793         -0.2717         -0.0000         -21.2870        
13.08               -0.2054         0.0000          -0.6806         -0.2724         -0.0000         -21.2863        
13.14               -0.2063         0.0000          -0.6819         -0.2731         -0.0000         -21.2856        
13.20               -0.2073         0.0000          -0.6833         -0.2739         -0.0000         -21.2849        
13.26               -0.2083         0.0000          -0.6847         -0.2746         -0.0000         -21.2842        
13.32               -0.2095         0.0000          -0.6861         -0.2754         -0.0000         -21.2836        
13.38               -0.2106         0.0000          -0.6876         -0.2761         -0.0000         -21.2829        
13.44               -0.2119         0.0000          -0.6891         -0.2769         -0.0000         -21.2823        
13.50               -0.2132         0.0000          -0.6906         -0.2777         -0.0000         -21.2817        
13.56               -0.2146         0.0000          -0.6922         -0.2786         -0.0000         -21.2812        
13.62               -0.2161         0.0000          -0.6938         -0.2794         -0.0000         -21.2806        
13.68               -0.2177         0.0000          -0.6954         -0.2802         -0.0000         -21.2801        
13.74               -0.2193         0.0000          -0.6971         -0.2811         -0.0000         -21.2796        
13.80               -0.2210         0.0000          -0.6988         -0.2820         -0.0000         -21.2791        
13.86               -0.2227         0.0000          -0.7005         -0.2829         -0.0000         -21.2786        
13.92               -0.2245         0.0000          -0.7022         -0.2838         -0.0000         -21.2782        
13.98               -0.2264         0.0000          -0.7040         -0.2848         -0.0000         -21.2778        
14.04               -0.2284         0.0000          -0.7057         -0.2857         -0.0000         -21.2774        
14.10               -0.2304         0.0000          -0.7075         -0.2867         -0.0000         -21.2770        
14.16               -0.2325         0.0000          -0.7093         -0.2877         -0.0000         -21.2766        
14.22               -0.2347         0.0000          -0.7111         -0.2887         -0.0000         -21.2763        
14.28               -0.2369         0.0000          -0.7129         -0.2898         -0.0000         -21.2760        
14.34               -0.2392         0.0000          -0.7147         -0.2908         -0.0000         -21.2757        
14.40               -0.2416         0.0000          -0.7165         -0.2919         -0.0000         -21.2755        
14.46               -0.2440         0.0000          -0.7184         -0.2930         -0.0000         -21.2753        
14.52               -0.2465         0.0000          -0.7202         -0.2941         -0.0000         -21.2751        
14.58               -0.2491         0.0000          -0.7220         -0.2952         -0.0000         -21.2749        
14.64               -0.2517         0.0000          -0.7239         -0.2963         -0.0000         -21.2748        
14.70               -0.2543         0.0000          -0.7257         -0.2975         -0.0000         -21.2747        
14.76               -0.2571         0.0000          -0.7275         -0.2987         -0.0000         -21.2746        
14.82               -0.2599         0.0000          -0.7293         -0.2999         -0.0000         -21.2745        
14.88               -0.2627         0.0000          -0.7311         -0.3011         -0.0000         -21.2745        
14.94               -0.2656         0.0000          -0.7329         -0.3023         -0.0000         -21.2745        
15.00               -0.2685         0.0000          -0.7346         -0.3035         -0.0000         -21.2745        
15.06               -0.2715         0.0000          -0.7364         -0.3048         -0.0000         -21.2746        
15.12               -0.2745         0.0000          -0.7381         -0.3061         -0.0000         -21.2746        
15.18               -0.2776         0.0000          -0.7398         -0.3073         -0.0000         -21.2747        
15.24               -0.2808         0.0000          -0.7415         -0.3086         -0.0000         -21.2749        
15.30               -0.2839         0.0000          -0.7431         -0.3100         -0.0000         -21.2750        
15.36               -0.2871         0.0000          -0.7448         -0.3113         -0.0000         -21.2752        
15.42               -0.2904         0.0000          -0.7464         -0.3126         -0.0000         -21.2754        
15.48               -0.2937         0.0000          -0.7479         -0.3140         -0.0000         -21.2757        
15.54               -0.2970         0.0000          -0.7495         -0.3154         -0.0000         -21.2759        
15.60               -0.3003         0.0000          -0.7510         -0.3168         -0.0000         -21.2762        
15.66               -0.3037         0.0000          -0.7524         -0.3182         -0.0000         -21.2765        
15.72               -0.3071         0.0000          -0.7539         -0.3196         -0.0000         -21.2768        
15.78               -0.3106         0.0000          -0.7552         -0.3210         -0.0000         -21.2772        
15.84               -0.3140         0.0000          -0.7566         -0.3224         -0.0000         -21.2776        
15.90               -0.3175         0.0000          -0.7579         -0.3239         -0.0000         -21.2780        
15.96               -0.3210         0.0000          -0.7592         -0.3253         -0.0000         -21.2784        
16.02               -0.3245         0.0000          -0.7604         -0.3268         -0.0000         -21.2789        
16.08               -0.3281         0.0000          -0.7615         -0.3282         -0.0000         -21.2793        
16.14               -0.3316         0.0000          -0.7627         -0.3297         -0.0000         -21.2798        
16.20               -0.3352         0.0000          -0.7638         -0.3312         -0.0000         -21.2803        
16.26               -0.3388         0.0000          -0.7648         -0.3327         -0.0000         -21.2809        
16.32               -0.3423         0.0000          -0.7658         -0.3342         -0.0000         -21.2814        
16.38               -0.3459         0.0000          -0.7667         -0.3357         -0.0000         -21.2820        
16.44               -0.3495         0.0000          -0.7676         -0.3372         -0.0000         -21.2826        
16.50               -0.3531         0.0000          -0.7684         -0.3388         -0.0000         -21.2832        
16.56               -0.3567         0.0000          -0.7692         -0.3403         -0.0000         -21.2838        
16.62               -0.3603         0.0000          -0.7699         -0.3418         -0.0000         -21.2844        
16.68               -0.3639         0.0000          -0.7706         -0.3434         -0.0000         -21.2850        
16.74               -0.3675         0.0000          -0.7712         -0.3449         -0.0000         -21.2857        
16.80               -0.3711         0.0000          -0.7717         -0.3464         -0.0000         -21.2864        
16.86               -0.3746         0.0000          -0.7722         -0.3480         -0.0000         -21.2870        
16.92               -0.3782         0.0000          -0.7726         -0.3495         -0.0000         -21.2877        
16.98               -0.3817         0.0000          -0.7729         -0.3511         -0.0000         -21.2884        
17.04               -0.3852         0.0000          -0.7732         -0.3526         -0.0000         -21.2891        
17.10               -0.3887         0.0000          -0.7734         -0.3542         -0.0000         -21.2899        
17.16               -0.3921         0.0000          -0.7736         -0.3557         -0.0000         -21.2906        
17.22               -0.3955         0.0000          -0.7736         -0.3572         -0.0000         -21.2913        
17.28               -0.3989         0.0000          -0.7736         -0.3588         -0.0000         -21.2921        
17.34               -0.4022         0.0000          -0.7736         -0.3603         -0.0000         -21.2928        
17.40               -0.4056         0.0000          -0.7734         -0.3618         -0.0000         -21.2936        
17.46               -0.4088         0.0000          -0.7732         -0.3634         -0.0000         -21.2943        
17.52               -0.4121         0.0000          -0.7730         -0.3649         -0.0000         -21.2951        
17.58               -0.4152         0.0000          -0.7727         -0.3664         -0.0000         -21.2958        
17.64               -0.4184         0.0000          -0.7723         -0.3679         -0.0000         -21.2966        
17.70               -0.4215         0.0000          -0.7718         -0.3694         0.0000          -21.2973        
17.76               -0.4245         0.0000          -0.7713         -0.3709         0.0000          -21.2981        
17.82               -0.4275         0.0000          -0.7707         -0.3723         0.0000          -21.2988        
17.88               -0.4304         0.0000          -0.7701         -0.3738         0.0000          -21.2996        
17.94               -0.4333         0.0000          -0.7694         -0.3753         0.0000          -21.3003        
18.00               -0.4361         0.0000          -0.7686         -0.3767         0.0000          -21.3010        
18.06               -0.4389         0.0000          -0.7678         -0.3782         0.0000          -21.3018        
18.12               -0.4416         0.0000          -0.7669         -0.3796         0.0000          -21.3025        
18.18               -0.4442         0.0000          -0.7659         -0.3810         0.0000          -21.3032        
18.24               -0.4468         0.0000          -0.7649         -0.3824         0.0000          -21.3039        
18.30               -0.4493         0.0000          -0.7639         -0.3838         0.0000          -21.3046        
18.36               -0.4518         0.0000          -0.7628         -0.3852         0.0000          -21.3053        
18.42               -0.4542         0.0000          -0.7616         -0.3866         0.0000          -21.3059        
18.48               -0.4565         0.0000          -0.7604         -0.3879         0.0000          -21.3066        
18.54               -0.4587         0.0000          -0.7592         -0.3893         0.0000          -21.3072        
18.60               -0.4609         0.0000          -0.7579         -0.3906         0.0000          -21.3079        
18.66               -0.4630         0.0000          -0.7566         -0.3919         0.0000          -21.3085        
18.72               -0.4650         0.0000          -0.7552         -0.3932         0.0000          -21.3091        
18.78               -0.4670         0.0000          -0.7538         -0.3945         0.0000          -21.3096        
18.84               -0.4688         0.0000          -0.7523         -0.3958         0.0000          -21.3102        
18.90               -0.4706         0.0000          -0.7508         -0.3971         0.0000          -21.3108        
18.96               -0.4724         0.0000          -0.7493         -0.3983         0.0000          -21.3113        
19.02               -0.4740         0.0000          -0.7477         -0.3996         0.0000          -21.3118        
19.08               -0.4756         0.0000          -0.7461         -0.4008         0.0000          -21.3123        
19.14               -0.4771         0.0000          -0.7445         -0.4020         0.0000          -21.3127        
19.20               -0.4786         -0.0000         -0.7429         -0.4032         0.0000          -21.3132        
19.26               -0.4799         -0.0000         -0.7412         -0.4044         0.0000          -21.3136        
19.32               -0.4812         -0.0000         -0.7395         -0.4056         0.0000          -21.3140        
19.38               -0.4824         -0.0000         -0.7378         -0.4067         0.0000          -21.3144        
19.44               -0.4835         -0.0000         -0.7361         -0.4079         0.0000          -21.3147        
19.50               -0.4846         -0.0000         -0.7343         -0.4090         0.0000          -21.3151        
19.56               -0.4855         -0.0000         -0.7326         -0.4101         0.0000          -21.3154        
19.62               -0.4865         -0.0000         -0.7308         -0.4112         0.0000          -21.3157        
19.68               -0.4873         -0.0000         -0.7290         -0.4123         0.0000          -21.3159        
19.74               -0.4880         -0.0000         -0.7272         -0.4134         0.0000          -21.3162        
19.80               -0.4887         -0.0000         -0.7254         -0.4144         0.0000          -21.3164        
19.86               -0.4893         -0.0000         -0.7236         -0.4155         0.0000          -21.3165        
19.92               -0.4899         -0.0000         -0.7218         -0.4165         0.0000          -21.3167        
19.98               -0.4903         -0.0000         -0.7199         -0.4176         0.0000          -21.3168        
20.04               -0.4907         -0.0000         -0.7181         -0.4186         0.0000          -21.3169        
20.10               -0.4911         -0.0000         -0.7163         -0.4196         0.0000          -21.3170        
20.16               -0.4913         -0.0000         -0.7145         -0.4206         0.0000          -21.3170        
20.22               -0.4915         -0.0000         -0.7127         -0.4216         0.0000          -21.3171        
20.28               -0.4916         -0.0000         -0.7109         -0.4226         0.0000          -21.3170        
20.34               -0.4917         -0.0000         -0.7091         -0.4235         0.0000          -21.3170        
20.40               -0.4917         -0.0000         -0.7073         -0.4245         0.0000          -21.3169        
20.46               -0.4916         -0.0000         -0.7056         -0.4254         0.0000          -21.3169        
20.52               -0.4915         -0.0000         -0.7038         -0.4264         0.0000          -21.3167        
20.58               -0.4913         -0.0000         -0.7021         -0.4273         0.0000          -21.3166        
20.64               -0.4911         -0.0000         -0.7004         -0.4282         0.0000          -21.3164        
20.70               -0.4908         -0.0000         -0.6987         -0.4292         0.0000          -21.3162        
20.76               -0.4905         -0.0000         -0.6971         -0.4301         0.0000          -21.3160        
20.82               -0.4900         -0.0000         -0.6955         -0.4310         0.0000          -21.3157        
20.88               -0.4896         -0.0000         -0.6939         -0.4319         0.0000          -21.3155        
